,example_id,min_pass1_of_model,num_solved,models,pass1_of_ex,pass@any_of_ex,tau,example_link
0,blind-maze-explorer-5x5,0.1275,23,"['20250711_openhands_claude-4-sonnet'
 '20250811_cursor-cli_claude-4-sonnet'
 '20250825_swe-agent-mini_claude-4-sonnet' '20250829_goose_claude-4-opus'
 '20250902_orchestrator_claude-4-sonnet'
 '20250902_orchestrator_qwen-3-coder-480B'
 '20250911_chaterm_claude-4-sonnet' '20250923_droid_claude-4-1-opus'
 '20250923_droid_claude-4-sonnet' '20250924_droid_gpt-5'
 '20250926_ante_claude-4-sonnet' '20251001_droid_claude-4-5-sonnet'
 '20251007_camel-agent_gpt-4-1' '20251010_Chaterm_claude-4-5-sonnet'
 '20251012_alpha_claude-4-5-sonnet' '20251013_ante_claude_4-5_sonnet'
 '20251016_Chaterm_claude-4-5-sonnet' '20251016_apex_agent_gpt-5'
 '20251017_deepagent-desktop_claude-4-5-sonnet'
 '20251019_apex_agent_claude-4-5-sonnet'
 '20251108_abacusai-desktop_multiple' '20251111_iflow-cli_Minimax-M2'
 'ob1-09-10-25']",0.552,0.92,0.44099479550929294,blind-maze-explorer-5x5
1,blind-maze-explorer-algorithm,0.1275,24,"['20250711_openhands_claude-4-sonnet'
 '20250811_cursor-cli_claude-4-sonnet'
 '20250825_swe-agent-mini_claude-4-sonnet' '20250829_goose_claude-4-opus'
 '20250829_goose_claude-4-sonnet' '20250902_orchestrator_claude-4-sonnet'
 '20250911_chaterm_claude-4-sonnet' '20250923_droid_claude-4-1-opus'
 '20250923_droid_claude-4-sonnet' '20250924_droid_gpt-5'
 '20250926_ante_claude-4-sonnet' '20251001_droid_claude-4-5-sonnet'
 '20251007_camel-agent_gpt-4-1' '20251010_Chaterm_claude-4-5-sonnet'
 '20251012_alpha_claude-4-5-sonnet' '20251013_ante_claude_4-5_sonnet'
 '20251016_Chaterm_claude-4-5-sonnet' '20251016_apex_agent_gpt-5'
 '20251017_deepagent-desktop_claude-4-5-sonnet'
 '20251019_apex_agent_claude-4-5-sonnet'
 '20251026_iflow-cli_Qwen3-Coder-480A30'
 '20251108_abacusai-desktop_multiple' '20251111_iflow-cli_Minimax-M2'
 'ob1-09-10-25']",0.664,0.96,0.6396973458746545,blind-maze-explorer-algorithm
2,blind-maze-explorer-algorithm.easy,0.1275,21,"['20250711_openhands_claude-4-sonnet'
 '20250811_cursor-cli_claude-4-sonnet'
 '20250825_swe-agent-mini_claude-4-sonnet'
 '20250902_orchestrator_claude-4-sonnet'
 '20250911_chaterm_claude-4-sonnet' '20250923_droid_claude-4-1-opus'
 '20250923_droid_claude-4-sonnet' '20250924_droid_gpt-5'
 '20250926_ante_claude-4-sonnet' '20251001_droid_claude-4-5-sonnet'
 '20251010_Chaterm_claude-4-5-sonnet' '20251012_alpha_claude-4-5-sonnet'
 '20251013_ante_claude_4-5_sonnet' '20251016_Chaterm_claude-4-5-sonnet'
 '20251016_apex_agent_gpt-5'
 '20251017_deepagent-desktop_claude-4-5-sonnet'
 '20251019_apex_agent_claude-4-5-sonnet'
 '20251026_iflow-cli_Qwen3-Coder-480A30'
 '20251108_abacusai-desktop_multiple' '20251111_iflow-cli_Minimax-M2'
 'ob1-09-10-25']",0.6080000000000001,0.84,0.4355163866123252,blind-maze-explorer-algorithm.easy
3,blind-maze-explorer-algorithm.hard,0.1275,20,"['20250711_openhands_claude-4-sonnet'
 '20250811_cursor-cli_claude-4-sonnet'
 '20250825_swe-agent-mini_claude-4-sonnet'
 '20250902_orchestrator_claude-4-sonnet'
 '20250911_chaterm_claude-4-sonnet' '20250923_droid_claude-4-1-opus'
 '20250923_droid_claude-4-sonnet' '20250924_droid_gpt-5'
 '20250926_ante_claude-4-sonnet' '20251001_droid_claude-4-5-sonnet'
 '20251007_camel-agent_gpt-4-1' '20251010_Chaterm_claude-4-5-sonnet'
 '20251013_ante_claude_4-5_sonnet' '20251016_Chaterm_claude-4-5-sonnet'
 '20251016_apex_agent_gpt-5'
 '20251017_deepagent-desktop_claude-4-5-sonnet'
 '20251019_apex_agent_claude-4-5-sonnet'
 '20251026_iflow-cli_Qwen3-Coder-480A30'
 '20251108_abacusai-desktop_multiple' 'ob1-09-10-25']",0.608,0.8,0.4735482013952191,blind-maze-explorer-algorithm.hard
4,build-initramfs-qemu,,0,[],0.0,0.0,,build-initramfs-qemu
5,build-linux-kernel-qemu,0.6375,1,['20251016_Chaterm_claude-4-5-sonnet'],0.016,0.04,0.26057865332352387,build-linux-kernel-qemu
6,build-tcc-qemu,0.4525,11,"['20250829_goose_claude-4-opus' '20250911_chaterm_claude-4-sonnet'
 '20250923_droid_claude-4-1-opus' '20250924_droid_gpt-5'
 '20250926_ante_claude-4-sonnet' '20251001_droid_claude-4-5-sonnet'
 '20251010_Chaterm_claude-4-5-sonnet' '20251016_Chaterm_claude-4-5-sonnet'
 '20251017_deepagent-desktop_claude-4-5-sonnet'
 '20251108_abacusai-desktop_multiple' 'ob1-09-10-25']",0.22399999999999998,0.44,0.5443464407496651,build-tcc-qemu
7,cartpole-rl-training,0.1275,20,"['20250711_openhands_claude-4-sonnet'
 '20250825_swe-agent-mini_claude-4-sonnet' '20250829_goose_claude-4-opus'
 '20250829_goose_claude-4-sonnet' '20250923_droid_claude-4-1-opus'
 '20250923_droid_claude-4-sonnet' '20250924_droid_gpt-5'
 '20250926_ante_claude-4-sonnet' '20251001_droid_claude-4-5-sonnet'
 '20251007_camel-agent_gpt-4-1' '20251010_Chaterm_claude-4-5-sonnet'
 '20251013_ante_claude_4-5_sonnet' '20251016_Chaterm_claude-4-5-sonnet'
 '20251016_apex_agent_gpt-5'
 '20251017_deepagent-desktop_claude-4-5-sonnet'
 '20251019_apex_agent_claude-4-5-sonnet'
 '20251026_iflow-cli_Qwen3-Coder-480A30'
 '20251108_abacusai-desktop_multiple' '20251111_iflow-cli_Minimax-M2'
 'ob1-09-10-25']",0.528,0.8,0.44331407055812716,cartpole-rl-training
8,chess-best-move,0.5475,3,"['20250926_ante_claude-4-sonnet' '20251001_droid_claude-4-5-sonnet'
 '20251013_ante_claude_4-5_sonnet']",0.032,0.12,0.2955402316445243,chess-best-move
9,conda-env-conflict-resolution,0.2625,23,"['20250711_openhands_claude-4-sonnet'
 '20250811_cursor-cli_claude-4-sonnet' '20250829_goose_claude-4-opus'
 '20250829_goose_claude-4-sonnet' '20250902_orchestrator_claude-4-sonnet'
 '20250911_chaterm_claude-4-sonnet' '20250923_droid_claude-4-1-opus'
 '20250923_droid_claude-4-sonnet' '20250924_droid_gpt-5'
 '20250926_ante_claude-4-sonnet' '20251001_droid_claude-4-5-sonnet'
 '20251007_camel-agent_gpt-4-1' '20251010_Chaterm_claude-4-5-sonnet'
 '20251012_alpha_claude-4-5-sonnet' '20251013_ante_claude_4-5_sonnet'
 '20251016_Chaterm_claude-4-5-sonnet' '20251016_apex_agent_gpt-5'
 '20251017_deepagent-desktop_claude-4-5-sonnet'
 '20251019_apex_agent_claude-4-5-sonnet'
 '20251026_iflow-cli_Qwen3-Coder-480A30'
 '20251108_abacusai-desktop_multiple' '20251111_iflow-cli_Minimax-M2'
 'ob1-09-10-25']",0.72,0.92,0.5854865160202404,conda-env-conflict-resolution
