,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
33065,qwen1.5-0.5b-chat,math_cot,0.7,-1,0,13,0,0.0
33066,qwen1.5-0.5b-chat,math_cot,0.7,-1,1,13,0,0.0
33067,qwen1.5-0.5b-chat,math_cot,0.7,-1,2,13,0,0.0
33068,qwen1.5-0.5b-chat,math_cot,0.7,-1,3,13,0,0.0
33069,qwen1.5-0.5b-chat,math_cot,0.7,-1,4,13,0,0.0
33070,qwen1.5-0.5b-chat,math_cot,0.7,-1,5,13,0,0.0
33071,qwen1.5-0.5b-chat,math_cot,0.7,-1,6,13,0,0.0
33072,qwen1.5-0.5b-chat,math_cot,0.7,-1,7,13,0,0.0
33073,qwen1.5-0.5b-chat,math_cot,0.7,-1,8,13,0,0.0
33074,qwen1.5-0.5b-chat,math_cot,0.7,-1,9,13,0,0.0
33075,qwen1.5-0.5b-chat,math_cot,0.7,-1,10,13,0,0.0
33076,qwen1.5-0.5b-chat,math_cot,0.7,-1,11,13,0,0.0
33077,qwen1.5-0.5b-chat,math_cot,0.7,-1,12,13,0,0.0
33078,qwen1.5-0.5b-chat,math_cot,0.7,-1,13,13,0,0.0
33079,qwen1.5-0.5b-chat,math_cot,0.7,-1,14,13,0,0.0
33080,qwen1.5-0.5b-chat,math_cot,0.7,-1,15,13,0,0.0
33081,qwen1.5-0.5b-chat,math_cot,0.7,-1,16,13,0,0.0
33082,qwen1.5-0.5b-chat,math_cot,0.7,-1,17,13,0,0.0
33083,qwen1.5-0.5b-chat,math_cot,0.7,-1,18,13,0,0.0
33084,qwen1.5-0.5b-chat,math_cot,0.7,-1,19,13,0,0.0
33085,qwen1.5-0.5b-chat,math_cot,0.7,-1,20,13,0,0.0
33086,qwen1.5-0.5b-chat,math_cot,0.7,-1,21,13,0,0.0
33087,qwen1.5-0.5b-chat,math_cot,0.7,-1,22,13,0,0.0
33088,qwen1.5-0.5b-chat,math_cot,0.7,-1,23,13,0,0.0
33089,qwen1.5-0.5b-chat,math_cot,0.7,-1,24,13,2,0.1538461538
33090,qwen1.5-0.5b-chat,math_cot,0.7,-1,25,13,0,0.0
33091,qwen1.5-0.5b-chat,math_cot,0.7,-1,26,13,0,0.0
33092,qwen1.5-0.5b-chat,math_cot,0.7,-1,27,13,0,0.0
33093,qwen1.5-0.5b-chat,math_cot,0.7,-1,28,13,1,0.0769230769
33094,qwen1.5-0.5b-chat,math_cot,0.7,-1,29,13,0,0.0
33095,qwen1.5-0.5b-chat,math_cot,0.7,-1,30,13,0,0.0
33096,qwen1.5-0.5b-chat,math_cot,0.7,-1,31,13,1,0.0769230769
33097,qwen1.5-0.5b-chat,math_cot,0.7,-1,32,13,2,0.1538461538
33098,qwen1.5-0.5b-chat,math_cot,0.7,-1,33,13,0,0.0
33099,qwen1.5-0.5b-chat,math_cot,0.7,-1,34,13,0,0.0
33100,qwen1.5-0.5b-chat,math_cot,0.7,-1,35,13,0,0.0
33101,qwen1.5-0.5b-chat,math_cot,0.7,-1,36,13,0,0.0
33102,qwen1.5-0.5b-chat,math_cot,0.7,-1,37,13,0,0.0
33103,qwen1.5-0.5b-chat,math_cot,0.7,-1,38,13,0,0.0
33104,qwen1.5-0.5b-chat,math_cot,0.7,-1,39,13,0,0.0
33105,qwen1.5-0.5b-chat,math_cot,0.7,-1,40,13,0,0.0
33106,qwen1.5-0.5b-chat,math_cot,0.7,-1,41,13,1,0.0769230769
33107,qwen1.5-0.5b-chat,math_cot,0.7,-1,42,13,0,0.0
33108,qwen1.5-0.5b-chat,math_cot,0.7,-1,43,13,1,0.0769230769
33109,qwen1.5-0.5b-chat,math_cot,0.7,-1,44,13,0,0.0
33110,qwen1.5-0.5b-chat,math_cot,0.7,-1,45,13,0,0.0
33111,qwen1.5-0.5b-chat,math_cot,0.7,-1,46,13,0,0.0
33112,qwen1.5-0.5b-chat,math_cot,0.7,-1,47,13,0,0.0
33113,qwen1.5-0.5b-chat,math_cot,0.7,-1,48,13,0,0.0
33114,qwen1.5-0.5b-chat,math_cot,0.7,-1,49,13,0,0.0
33115,qwen1.5-0.5b-chat,math_cot,0.7,-1,50,13,0,0.0
33116,qwen1.5-0.5b-chat,math_cot,0.7,-1,51,13,0,0.0
33117,qwen1.5-0.5b-chat,math_cot,0.7,-1,52,13,0,0.0
33118,qwen1.5-0.5b-chat,math_cot,0.7,-1,53,13,0,0.0
