,example_id,min_pass1_of_model,num_solved,models,pass1_of_ex,pass@any_of_ex,tau,example_link
0,mmlu/0,0.26427859279304944,22,"['falcon-7b' 'stablelm-base-alpha-7b-v2' 'stablelm-3b-4e1t' 'mpt-30b'
 'Mixtral-8x7B-v0.1' 'Meta-Llama-3-8B' 'Meta-Llama-3-70B'
 'deepseek-moe-16b-base' 'deepseek-llm-7b-base' 'dbrx-base' 'Qwen1.5-7B'
 'Qwen1.5-4B' 'Qwen1.5-110B' 'Qwen1.5-1.8B' 'pythia-2.8b-deduped'
 'falcon-40b' 'llama2_07B' 'llama2_13B' 'llama_07B' 'llama_13B'
 'llama_33B' 'llama_65B']",0.6111111111111112,0.6111111111111112,0.00454029804402663,mmlu/0
1,mmlu/1,0.4556331006979063,7,"['mpt-30b' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1' 'Meta-Llama-3-8B'
 'Qwen1.5-110B' 'llama_13B' 'llama_33B']",0.19444444444444445,0.19444444444444445,0.22649922752709994,mmlu/1
2,mmlu/10,0.5544794188861986,2,['falcon-40b' 'llama_33B'],0.05555555555555555,0.05555555555555555,0.038651402376829895,mmlu/10
3,mmlu/100,0.23280159521435692,13,"['stablelm-base-alpha-7b-v2' 'Mixtral-8x7B-v0.1' 'Meta-Llama-3-8B'
 'Meta-Llama-3-70B' 'gemma-7b' 'gemma-2b' 'deepseek-moe-16b-base'
 'dbrx-base' 'Qwen1.5-72B' 'Qwen1.5-32B' 'pythia-12b-deduped-v0'
 'pythia-1.4b-deduped-v0' 'falcon-40b']",0.3611111111111111,0.3611111111111111,0.12672340118007602,mmlu/100
4,mmlu/1000,0.2464036462042444,10,"['Mixtral-8x22B-v0.1' 'Meta-Llama-3-70B' 'gemma-2b' 'dbrx-base'
 'Qwen1.5-72B' 'Qwen1.5-110B' 'pythia-6.9b-deduped-v0'
 'pythia-2.8b-deduped' 'pythia-1b-deduped' 'llama_07B']",0.2777777777777778,0.2777777777777778,0.054358283221814095,mmlu/1000
5,mmlu/10000,0.23280159521435692,17,"['Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Meta-Llama-3-8B'
 'Meta-Llama-3-70B' 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-7B'
 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B' 'Qwen1.5-110B'
 'pythia-1b-deduped' 'pythia-12b-deduped-v0' 'pythia-1.4b-deduped-v0'
 'falcon-40b' 'llama2_70B' 'llama_33B']",0.4722222222222222,0.4722222222222222,0.3879417430615478,mmlu/10000
6,mmlu/10001,0.24661729098419027,21,"['mpt-30b' 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'deepseek-llm-7b-base'
 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-7B' 'Qwen1.5-72B'
 'Qwen1.5-4B' 'Qwen1.5-32B' 'Qwen1.5-110B' 'Qwen1.5-1.8B' 'Qwen1.5-0.5B'
 'pythia-6.9b-deduped-v0' 'falcon-40b' 'llama2_13B' 'llama2_70B'
 'llama_65B']",0.5833333333333334,0.5833333333333334,0.4826284379527229,mmlu/10001
7,mmlu/10002,0.24661729098419027,8,"['Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1' 'Meta-Llama-3-70B'
 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-32B' 'Qwen1.5-110B'
 'pythia-6.9b-deduped-v0']",0.2222222222222222,0.2222222222222222,0.40994579587496144,mmlu/10002
8,mmlu/10003,0.23280159521435692,29,"['falcon-7b' 'mpt-30b' 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1'
 'Mistral-7B-v0.1' 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b'
 'deepseek-moe-16b-base' 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-7B'
 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B'
 'Qwen1.5-1.8B' 'Qwen1.5-0.5B' 'pythia-1b-deduped' 'pythia-12b-deduped-v0'
 'pythia-1.4b-deduped-v0' 'falcon-40b' 'llama2_13B' 'llama2_70B'
 'llama_07B' 'llama_13B' 'llama_33B' 'llama_65B']",0.8055555555555556,0.8055555555555556,0.32716555087247773,mmlu/10003
9,mmlu/10004,0.2721122347243982,31,"['falcon-7b' 'stablelm-base-alpha-7b-v2' 'stablelm-3b-4e1t' 'mpt-30b'
 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b' 'gemma-2b'
 'deepseek-moe-16b-base' 'deepseek-llm-7b-base' 'deepseek-llm-67b-base'
 'dbrx-base' 'Qwen1.5-7B' 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B'
 'Qwen1.5-14B' 'Qwen1.5-110B' 'Qwen1.5-1.8B' 'Qwen1.5-0.5B' 'falcon-40b'
 'llama2_07B' 'llama2_13B' 'llama2_70B' 'llama_07B' 'llama_13B'
 'llama_33B' 'llama_65B']",0.8611111111111112,0.8611111111111112,0.4960158727618967,mmlu/10004
10,mmlu/10005,0.2464036462042444,24,"['falcon-7b' 'stablelm-base-alpha-7b-v2' 'stablelm-3b-4e1t'
 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'gemma-7b' 'gemma-2b' 'deepseek-moe-16b-base'
 'deepseek-llm-7b-base' 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-7B'
 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B'
 'Qwen1.5-1.8B' 'pythia-2.8b-deduped' 'pythia-1b-deduped' 'llama2_07B'
 'llama2_13B']",0.6666666666666666,0.6666666666666666,0.2159838650972876,mmlu/10005
11,mmlu/10006,0.4556331006979063,19,"['Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b' 'deepseek-llm-67b-base'
 'dbrx-base' 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B' 'Qwen1.5-14B'
 'Qwen1.5-110B' 'falcon-40b' 'llama2_07B' 'llama2_70B' 'llama_13B'
 'llama_33B' 'llama_65B']",0.5277777777777778,0.5277777777777778,0.6672597980658622,mmlu/10006
12,mmlu/10007,0.24661729098419027,28,"['stablelm-base-alpha-7b-v2' 'stablelm-3b-4e1t' 'mpt-30b'
 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b' 'gemma-2b'
 'deepseek-moe-16b-base' 'deepseek-llm-7b-base' 'deepseek-llm-67b-base'
 'dbrx-base' 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B' 'Qwen1.5-14B'
 'Qwen1.5-110B' 'Qwen1.5-1.8B' 'Qwen1.5-0.5B' 'pythia-6.9b-deduped-v0'
 'falcon-40b' 'llama2_07B' 'llama2_70B' 'llama_13B' 'llama_33B'
 'llama_65B']",0.7777777777777778,0.7777777777777778,0.44188962412495847,mmlu/10007
13,mmlu/10008,0.2466885059108389,19,"['falcon-7b' 'stablelm-base-alpha-7b-v2' 'mpt-30b' 'Mixtral-8x7B-v0.1'
 'Mixtral-8x22B-v0.1' 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b'
 'deepseek-llm-7b-base' 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-72B'
 'Qwen1.5-32B' 'Qwen1.5-110B' 'Qwen1.5-0.5B' 'pythia-2.8b-deduped'
 'pythia-12b-deduped-v0' 'llama2_13B' 'llama_65B']",0.5277777777777778,0.5277777777777778,0.2948357247267763,mmlu/10008
14,mmlu/10009,0.23280159521435692,28,"['stablelm-3b-4e1t' 'mpt-30b' 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1'
 'Mistral-7B-v0.1' 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b'
 'deepseek-moe-16b-base' 'deepseek-llm-7b-base' 'deepseek-llm-67b-base'
 'dbrx-base' 'Qwen1.5-7B' 'Qwen1.5-72B' 'Qwen1.5-32B' 'Qwen1.5-14B'
 'Qwen1.5-110B' 'Qwen1.5-1.8B' 'Qwen1.5-0.5B' 'pythia-1b-deduped'
 'pythia-1.4b-deduped-v0' 'falcon-40b' 'llama2_07B' 'llama2_70B'
 'llama_07B' 'llama_13B' 'llama_33B' 'llama_65B']",0.7777777777777778,0.7777777777777778,0.39397388174996295,mmlu/10009
15,mmlu/1001,0.2464036462042444,17,"['stablelm-base-alpha-7b-v2' 'mpt-30b' 'Meta-Llama-3-70B'
 'deepseek-moe-16b-base' 'Qwen1.5-7B' 'Qwen1.5-4B' 'Qwen1.5-14B'
 'Qwen1.5-0.5B' 'pythia-1b-deduped' 'pythia-12b-deduped-v0' 'falcon-40b'
 'llama2_07B' 'llama2_13B' 'llama2_70B' 'llama_07B' 'llama_13B'
 'llama_33B']",0.4722222222222222,0.4722222222222222,-0.170694366947081,mmlu/1001
16,mmlu/10010,0.3505910838911836,28,"['stablelm-base-alpha-7b-v2' 'stablelm-3b-4e1t' 'mpt-30b'
 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b' 'deepseek-moe-16b-base'
 'deepseek-llm-7b-base' 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-7B'
 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B'
 'Qwen1.5-1.8B' 'Qwen1.5-0.5B' 'falcon-40b' 'llama2_07B' 'llama2_13B'
 'llama2_70B' 'llama_07B' 'llama_13B' 'llama_33B']",0.7777777777777778,0.7777777777777778,0.5057772806249524,mmlu/10010
17,mmlu/10011,0.23280159521435692,6,"['Mixtral-8x22B-v0.1' 'Qwen1.5-72B' 'Qwen1.5-32B' 'Qwen1.5-110B'
 'pythia-6.9b-deduped-v0' 'pythia-1.4b-deduped-v0']",0.16666666666666666,0.16666666666666666,0.16035674514745463,mmlu/10011
18,mmlu/10012,0.4556331006979063,12,"['Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-72B'
 'Qwen1.5-32B' 'Qwen1.5-110B' 'llama2_70B' 'llama_13B' 'llama_65B']",0.3333333333333333,0.3333333333333333,0.5446549641583774,mmlu/10012
19,mmlu/10013,0.551559606893605,12,"['Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Meta-Llama-3-70B'
 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-72B' 'Qwen1.5-4B'
 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B' 'falcon-40b' 'llama2_70B']",0.3333333333333333,0.3333333333333333,0.6150844853857538,mmlu/10013
20,mmlu/10014,0.44922375729952996,21,"['Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b' 'deepseek-moe-16b-base'
 'deepseek-llm-7b-base' 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-7B'
 'Qwen1.5-72B' 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B' 'falcon-40b'
 'llama2_13B' 'llama2_70B' 'llama_13B' 'llama_33B' 'llama_65B']",0.5833333333333334,0.5833333333333334,0.6622111125397826,mmlu/10014
21,mmlu/10015,0.4435977780942886,20,"['stablelm-base-alpha-7b-v2' 'stablelm-3b-4e1t' 'mpt-30b'
 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b' 'deepseek-llm-7b-base'
 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-7B' 'Qwen1.5-72B'
 'Qwen1.5-4B' 'Qwen1.5-32B' 'Qwen1.5-110B' 'Qwen1.5-1.8B' 'llama_13B'
 'llama_65B']",0.5555555555555556,0.5555555555555556,0.4899789435061114,mmlu/10015
22,mmlu/10016,0.2464036462042444,32,"['falcon-7b' 'stablelm-base-alpha-7b-v2' 'mpt-30b' 'Mixtral-8x7B-v0.1'
 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1' 'Meta-Llama-3-8B'
 'Meta-Llama-3-70B' 'gemma-7b' 'gemma-2b' 'deepseek-moe-16b-base'
 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-7B' 'Qwen1.5-72B'
 'Qwen1.5-4B' 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B' 'Qwen1.5-1.8B'
 'Qwen1.5-0.5B' 'pythia-2.8b-deduped' 'pythia-1b-deduped'
 'pythia-12b-deduped-v0' 'falcon-40b' 'llama2_07B' 'llama2_13B'
 'llama2_70B' 'llama_07B' 'llama_13B' 'llama_33B' 'llama_65B']",0.8888888888888888,0.8888888888888888,0.2958039891549808,mmlu/10016
23,mmlu/10017,0.2464036462042444,14,"['stablelm-base-alpha-7b-v2' 'stablelm-3b-4e1t' 'Mixtral-8x7B-v0.1'
 'Meta-Llama-3-70B' 'dbrx-base' 'Qwen1.5-72B' 'Qwen1.5-14B' 'Qwen1.5-110B'
 'Qwen1.5-1.8B' 'Qwen1.5-0.5B' 'pythia-2.8b-deduped' 'pythia-1b-deduped'
 'llama2_70B' 'llama_33B']",0.3888888888888889,0.3888888888888889,0.14074923936482553,mmlu/10017
24,mmlu/10018,0.2464036462042444,28,"['stablelm-base-alpha-7b-v2' 'stablelm-3b-4e1t' 'mpt-30b'
 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b' 'deepseek-moe-16b-base'
 'deepseek-llm-7b-base' 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-7B'
 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B'
 'pythia-1b-deduped' 'falcon-40b' 'llama2_07B' 'llama2_13B' 'llama2_70B'
 'llama_07B' 'llama_13B' 'llama_33B' 'llama_65B']",0.7777777777777778,0.7777777777777778,0.521749194749951,mmlu/10018
25,mmlu/10019,0.2464036462042444,16,"['stablelm-base-alpha-7b-v2' 'Mixtral-8x22B-v0.1' 'gemma-7b' 'gemma-2b'
 'dbrx-base' 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B'
 'pythia-6.9b-deduped-v0' 'pythia-2.8b-deduped' 'pythia-1b-deduped'
 'pythia-12b-deduped-v0' 'falcon-40b' 'llama2_13B' 'llama2_70B'
 'llama_07B']",0.4444444444444444,0.4444444444444444,-0.08017837257372731,mmlu/10019
26,mmlu/1002,0.23280159521435692,17,"['stablelm-base-alpha-7b-v2' 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1'
 'Meta-Llama-3-70B' 'gemma-7b' 'dbrx-base' 'Qwen1.5-7B' 'Qwen1.5-72B'
 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B' 'pythia-2.8b-deduped'
 'pythia-1.4b-deduped-v0' 'llama2_13B' 'llama2_70B' 'llama_07B'
 'llama_13B']",0.4722222222222222,0.4722222222222222,0.31257020440958994,mmlu/1002
27,mmlu/10020,0.2721122347243982,28,"['falcon-7b' 'stablelm-base-alpha-7b-v2' 'stablelm-3b-4e1t' 'mpt-30b'
 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b' 'gemma-2b'
 'deepseek-moe-16b-base' 'deepseek-llm-7b-base' 'deepseek-llm-67b-base'
 'dbrx-base' 'Qwen1.5-7B' 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B'
 'Qwen1.5-14B' 'Qwen1.5-110B' 'falcon-40b' 'llama2_07B' 'llama2_13B'
 'llama2_70B' 'llama_07B' 'llama_33B' 'llama_65B']",0.7777777777777778,0.7777777777777778,0.521749194749951,mmlu/10020
28,mmlu/10021,0.3839196695627404,8,"['Mixtral-8x22B-v0.1' 'gemma-2b' 'deepseek-moe-16b-base'
 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-72B' 'Qwen1.5-32B'
 'Qwen1.5-0.5B']",0.2222222222222222,0.2222222222222222,0.2182828263749795,mmlu/10021
29,mmlu/10022,0.551559606893605,13,"['Mixtral-8x7B-v0.1' 'Mistral-7B-v0.1' 'Meta-Llama-3-8B'
 'Meta-Llama-3-70B' 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-7B'
 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B'
 'llama2_70B']",0.3611111111111111,0.3611111111111111,0.6059682638247272,mmlu/10022
30,mmlu/10023,0.44922375729952996,18,"['Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b' 'deepseek-moe-16b-base'
 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-7B' 'Qwen1.5-72B'
 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B' 'llama2_13B' 'llama2_70B'
 'llama_33B' 'llama_65B']",0.5,0.5,0.6772962119561564,mmlu/10023
31,mmlu/10024,0.2721122347243982,31,"['falcon-7b' 'stablelm-base-alpha-7b-v2' 'stablelm-3b-4e1t' 'mpt-30b'
 'Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Mistral-7B-v0.1'
 'Meta-Llama-3-8B' 'Meta-Llama-3-70B' 'gemma-7b' 'gemma-2b'
 'deepseek-moe-16b-base' 'deepseek-llm-7b-base' 'deepseek-llm-67b-base'
 'dbrx-base' 'Qwen1.5-7B' 'Qwen1.5-72B' 'Qwen1.5-4B' 'Qwen1.5-32B'
 'Qwen1.5-14B' 'Qwen1.5-110B' 'Qwen1.5-1.8B' 'Qwen1.5-0.5B' 'falcon-40b'
 'llama2_07B' 'llama2_13B' 'llama2_70B' 'llama_07B' 'llama_13B'
 'llama_33B' 'llama_65B']",0.8611111111111112,0.8611111111111112,0.4960158727618967,mmlu/10024
32,mmlu/10025,0.47315197265346814,3,['Mistral-7B-v0.1' 'Qwen1.5-7B' 'llama2_07B'],0.08333333333333333,0.08333333333333333,0.05205416451129896,mmlu/10025
33,mmlu/10026,0.23280159521435692,18,"['Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Meta-Llama-3-8B'
 'Meta-Llama-3-70B' 'deepseek-llm-67b-base' 'dbrx-base' 'Qwen1.5-72B'
 'Qwen1.5-4B' 'Qwen1.5-32B' 'Qwen1.5-14B' 'Qwen1.5-110B'
 'pythia-12b-deduped-v0' 'pythia-1.4b-deduped-v0' 'falcon-40b' 'llama_07B'
 'llama_13B' 'llama_33B' 'llama_65B']",0.5,0.5,0.3984095364447979,mmlu/10026
34,mmlu/10027,0.23280159521435692,16,"['Mixtral-8x7B-v0.1' 'Mixtral-8x22B-v0.1' 'Meta-Llama-3-70B' 'gemma-7b'
 'dbrx-base' 'Qwen1.5-7B' 'Qwen1.5-72B' 'Qwen1.5-32B' 'Qwen1.5-14B'
 'Qwen1.5-110B' 'pythia-6.9b-deduped-v0' 'pythia-12b-deduped-v0'
 'pythia-1.4b-deduped-v0' 'llama2_70B' 'llama_07B' 'llama_65B']",0.4444444444444444,0.4444444444444444,0.32516784432678303,mmlu/10027
35,mmlu/10028,0.23280159521435692,16,"['falcon-7b' 'stablelm-base-alpha-7b-v2' 'Mixtral-8x7B-v0.1'
 'Mixtral-8x22B-v0.1' 'Meta-Llama-3-8B' 'Meta-Llama-3-70B'
 'deepseek-llm-7b-base' 'dbrx-base' 'Qwen1.5-72B' 'Qwen1.5-32B'
 'Qwen1.5-110B' 'Qwen1.5-1.8B' 'pythia-1b-deduped' 'pythia-12b-deduped-v0'
 'pythia-1.4b-deduped-v0' 'llama_07B']",0.4444444444444444,0.4444444444444444,0.09799578870122228,mmlu/10028
