,example_id,min_pass1_of_model,num_solved,models,pass1_of_ex,pass@any_of_ex,tau,example_link
0,astropy__astropy-12907,0.21,24,"['Llama 4 Maverick Instruct' 'Claude 4 Sonnet (20250514)'
 'Gemini 2.5 Pro (2025-05-06)' 'o3 (2025-04-16)'
 'Claude 4 Opus (20250514)' 'Qwen3-Coder 480B/A35B Instruct'
 'GPT-5 (2025-08-07) (medium reasoning)'
 'GPT-5 mini (2025-08-07) (medium reasoning)'
 'GPT-5 nano (2025-08-07) (medium reasoning)' 'Kimi K2 Instruct'
 'GLM-4.5 (2025-08-22)' 'Claude 4.5 Sonnet (20250929)'
 'Gemini 3 Pro Preview (2025-11-18)'
 'GPT-5.1 (2025-11-13) (medium reasoning)'
 'Claude 4.5 Opus medium (20251101)' 'GPT-5.1-codex (medium reasoning)'
 'Minimax M2' 'DeepSeek V3.2 Reasoner' 'GLM-4.6 (T=1)' 'Devstral (2512)'
 'Devstral small (2512)' 'Kimi K2 Thinking' 'GPT-5.2 (2025-12-11)'
 'GPT-5.2 (2025-12-11) (high reasoning)']",0.8571428571428571,0.8571428571428571,0.46318355658658544,astropy__astropy-12907
1,astropy__astropy-13033,,0,[],0.0,0.0,,astropy__astropy-13033
2,astropy__astropy-13236,0.21,4,"['Llama 4 Maverick Instruct' 'Gemini 3 Pro Preview (2025-11-18)'
 'GPT-5.1 (2025-11-13) (medium reasoning)' 'Kimi K2 Thinking']",0.14285714285714285,0.14285714285714285,0.1210593386533121,astropy__astropy-13236
3,astropy__astropy-13398,,0,[],0.0,0.0,,astropy__astropy-13398
4,astropy__astropy-13453,0.102,21,"['Claude 3.7 Sonnet (20250219)' 'Claude 4 Sonnet (20250514)'
 'o3 (2025-04-16)' 'o4-mini (2025-04-16)' 'Claude 4 Opus (20250514)'
 'Qwen3-Coder 480B/A35B Instruct' 'GPT-5 (2025-08-07) (medium reasoning)'
 'GPT-5 mini (2025-08-07) (medium reasoning)' 'GLM-4.5 (2025-08-22)'
 'Claude 4.5 Sonnet (20250929)' 'Gemini 3 Pro Preview (2025-11-18)'
 'GPT-5.1 (2025-11-13) (medium reasoning)'
 'Claude 4.5 Opus medium (20251101)' 'GPT-5.1-codex (medium reasoning)'
 'Minimax M2' 'DeepSeek V3.2 Reasoner' 'GLM-4.6 (T=1)' 'Devstral (2512)'
 'Kimi K2 Thinking' 'GPT-5.2 (2025-12-11)'
 'GPT-5.2 (2025-12-11) (high reasoning)']",0.75,0.75,0.5231816721683992,astropy__astropy-13453
5,astropy__astropy-13579,0.438,21,"['Claude 4 Sonnet (20250514)' 'o3 (2025-04-16)' 'Claude 4 Opus (20250514)'
 'Qwen3-Coder 480B/A35B Instruct' 'GPT-5 (2025-08-07) (medium reasoning)'
 'GPT-5 mini (2025-08-07) (medium reasoning)' 'Kimi K2 Instruct'
 'GLM-4.5 (2025-08-22)' 'Claude 4.5 Sonnet (20250929)'
 'Gemini 3 Pro Preview (2025-11-18)'
 'GPT-5.1 (2025-11-13) (medium reasoning)'
 'Claude 4.5 Opus medium (20251101)' 'GPT-5.1-codex (medium reasoning)'
 'Minimax M2' 'DeepSeek V3.2 Reasoner' 'GLM-4.6 (T=1)' 'Devstral (2512)'
 'Devstral small (2512)' 'Kimi K2 Thinking' 'GPT-5.2 (2025-12-11)'
 'GPT-5.2 (2025-12-11) (high reasoning)']",0.75,0.75,0.6082518627648867,astropy__astropy-13579
6,astropy__astropy-13977,,0,[],0.0,0.0,,astropy__astropy-13977
7,astropy__astropy-14096,0.102,22,"['Claude 3.7 Sonnet (20250219)' 'Claude 4 Sonnet (20250514)'
 'Gemini 2.5 Pro (2025-05-06)' 'o3 (2025-04-16)' 'o4-mini (2025-04-16)'
 'Claude 4 Opus (20250514)' 'Qwen3-Coder 480B/A35B Instruct'
 'GPT-5 (2025-08-07) (medium reasoning)'
 'GPT-5 mini (2025-08-07) (medium reasoning)'
 'GPT-5 nano (2025-08-07) (medium reasoning)'
 'Claude 4.5 Sonnet (20250929)' 'Gemini 3 Pro Preview (2025-11-18)'
 'GPT-5.1 (2025-11-13) (medium reasoning)'
 'Claude 4.5 Opus medium (20251101)' 'GPT-5.1-codex (medium reasoning)'
 'Minimax M2' 'DeepSeek V3.2 Reasoner' 'GLM-4.6 (T=1)' 'Devstral (2512)'
 'Kimi K2 Thinking' 'GPT-5.2 (2025-12-11)'
 'GPT-5.2 (2025-12-11) (high reasoning)']",0.7857142857142857,0.7857142857142857,0.44886848212908836,astropy__astropy-14096
8,astropy__astropy-14182,0.536,3,"['Gemini 2.5 Pro (2025-05-06)' 'GPT-5.1-codex (medium reasoning)'
 'GPT-5.2 (2025-12-11)']",0.10714285714285714,0.10714285714285714,0.11909826683508272,astropy__astropy-14182
9,astropy__astropy-14309,0.21,26,"['Llama 4 Maverick Instruct' 'Claude 4 Sonnet (20250514)'
 'Gemini 2.5 Pro (2025-05-06)' 'o3 (2025-04-16)' 'o4-mini (2025-04-16)'
 'Claude 4 Opus (20250514)' 'Qwen3-Coder 480B/A35B Instruct'
 'GPT-5 (2025-08-07) (medium reasoning)'
 'GPT-5 mini (2025-08-07) (medium reasoning)'
 'GPT-5 nano (2025-08-07) (medium reasoning)' 'gpt-oss-120b'
 'Kimi K2 Instruct' 'GLM-4.5 (2025-08-22)' 'Claude 4.5 Sonnet (20250929)'
 'Gemini 3 Pro Preview (2025-11-18)'
 'GPT-5.1 (2025-11-13) (medium reasoning)'
 'Claude 4.5 Opus medium (20251101)' 'GPT-5.1-codex (medium reasoning)'
 'Minimax M2' 'DeepSeek V3.2 Reasoner' 'GLM-4.6 (T=1)' 'Devstral (2512)'
 'Devstral small (2512)' 'Kimi K2 Thinking' 'GPT-5.2 (2025-12-11)'
 'GPT-5.2 (2025-12-11) (high reasoning)']",0.9285714285714286,0.9285714285714286,0.371884218998905,astropy__astropy-14309
