,model_a,model_b,total,accA,accB,sum(A!=B),sum(A-B),SE_signtest,pvalue,SE_pred(A-B),SE_x(A-B),SE(A-B),"corr(A,B)",benchmark_id
0,Claude 3.7 Sonnet (20250219),Llama 4 Maverick Instruct,500.0,0.102,0.21,128.0,-54.0,0.02262741699796952,2.0061299450300415e-06,,,0.022105926807080494,0.053378264134251854,swebench-bash-only
1,Claude 3.7 Sonnet (20250219),Qwen2.5-Coder 32B Instruct,500.0,0.102,0.09,86.0,6.0,0.018547236990991405,0.5900356111485566,,,0.01853947140562535,0.009467463670742452,swebench-bash-only
2,Claude 3.7 Sonnet (20250219),gpt-oss-120b,500.0,0.102,0.26,145.0,-79.0,0.024083189157584593,2.9545137576578215e-11,,,0.02302329255341208,0.07141140031170597,swebench-bash-only
3,Claude 4 Opus (20250514),Claude 4 Sonnet (20250514),500.0,0.676,0.648,70.0,14.0,0.016733200530681513,0.11960933562988493,,,0.016686281790740557,0.6887801893464462,swebench-bash-only
4,Claude 4 Opus (20250514),Claude 4.5 Opus medium (20251101),500.0,0.676,0.744,74.0,-34.0,0.017204650534085254,9.612986582365388e-05,,,0.016933753275632662,0.6514516071140876,swebench-bash-only
5,Claude 4 Opus (20250514),Claude 4.5 Sonnet (20250929),500.0,0.676,0.706,75.0,-15.0,0.017320508075688773,0.10534226887460482,,,0.01726846837446796,0.6507172838483529,swebench-bash-only
6,Claude 4 Opus (20250514),DeepSeek V3.2 Reasoner,500.0,0.676,0.6,102.0,38.0,0.020199009876724155,0.0002133912534118648,,,0.019911001983827933,0.5687561653470918,swebench-bash-only
7,Claude 4 Opus (20250514),Devstral (2512),500.0,0.676,0.538,117.0,69.0,0.021633307652783935,8.889484446408732e-11,,,0.020734319376338354,0.5413605853298361,swebench-bash-only
8,Claude 4 Opus (20250514),Devstral small (2512),500.0,0.676,0.564,116.0,56.0,0.02154065922853802,1.9182738987900616e-07,,,0.020950226729083386,0.5288631601020222,swebench-bash-only
9,Claude 4 Opus (20250514),GLM-4.5 (2025-08-22),500.0,0.676,0.542,97.0,67.0,0.01969771560359221,2.3753959346733286e-12,,,0.01876400810061646,0.624463417244648,swebench-bash-only
