,benchmark_id,model,example_id,pass1,count,date,hyperparams,correct
2615578,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,qemu-alpine-ssh,0.4,5.0,,,2
2615579,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,regex-log,1.0,5.0,,,5
2615580,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,sparql-university,0.8,5.0,,,4
2615581,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,build-pmars,0.4,5.0,,,2
2615582,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,pytorch-model-recovery,1.0,5.0,,,5
2615583,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,extract-elf,0.8,5.0,,,4
2615584,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,qemu-startup,0.4,5.0,,,2
2615585,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,rstan-to-pystan,0.6,5.0,,,3
2615586,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,log-summary-date-ranges,1.0,5.0,,,5
2615587,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,headless-terminal,1.0,5.0,,,5
2615588,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,git-multibranch,0.8,5.0,,,4
2615589,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,schemelike-metacircular-eval,1.0,5.0,,,5
2615590,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,compile-compcert,1.0,5.0,,,5
2615591,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,sam-cell-seg,0.0,5.0,,,0
2615592,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,install-windows-3.11,0.0,5.0,,,0
2615593,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,crack-7z-hash,0.4,5.0,,,2
2615594,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,video-processing,0.2,5.0,,,1
2615595,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,make-mips-interpreter,0.0,5.0,,,0
2615596,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,winning-avg-corewars,0.2,5.0,,,1
2615597,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,fix-ocaml-gc,1.0,5.0,,,5
2615598,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,torch-pipeline-parallelism,0.0,5.0,,,0
2615599,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,reshard-c4-data,0.8,5.0,,,4
2615600,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,protein-assembly,0.8,5.0,,,4
2615601,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,vulnerable-secret,1.0,5.0,,,5
2615602,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,polyglot-rust-c,0.8,5.0,,,4
2615603,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,multi-source-data-merger,1.0,5.0,,,5
2615604,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,password-recovery,1.0,5.0,,,5
2615605,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,fix-code-vulnerability,1.0,5.0,,,5
2615606,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,portfolio-optimization,1.0,5.0,,,5
2615607,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,cobol-modernization,1.0,5.0,,,5
2615608,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,openssl-selfsigned-cert,1.0,5.0,,,5
2615609,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,bn-fit-modify,0.8,5.0,,,4
2615610,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,dna-assembly,0.4,5.0,,,2
2615611,terminal-bench-2.0,Ante__Gemini-3-Pro-Preview,polyglot-c-py,0.2,5.0,,,1
