,benchmark_id,model,example_id,pass1,count,date,hyperparams,correct
2137358,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/0,1.0,1.0,,T0.2,1
2137359,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/1,1.0,1.0,,T0.2,1
2137360,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/2,1.0,1.0,,T0.2,1
2137361,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/3,1.0,1.0,,T0.2,1
2137362,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/4,0.0,1.0,,T0.2,0
2137363,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/5,0.0,1.0,,T0.2,0
2137364,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/6,1.0,1.0,,T0.2,1
2137365,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/7,1.0,1.0,,T0.2,1
2137366,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/8,1.0,1.0,,T0.2,1
2137367,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/9,1.0,1.0,,T0.2,1
2137368,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/10,1.0,1.0,,T0.2,1
2137369,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/11,1.0,1.0,,T0.2,1
2137370,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/12,1.0,1.0,,T0.2,1
2137371,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/13,1.0,1.0,,T0.2,1
2137372,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/14,1.0,1.0,,T0.2,1
2137373,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/15,1.0,1.0,,T0.2,1
2137374,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/16,1.0,1.0,,T0.2,1
2137375,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/17,1.0,1.0,,T0.2,1
2137376,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/18,1.0,1.0,,T0.2,1
2137377,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/19,1.0,1.0,,T0.2,1
2137378,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/20,1.0,1.0,,T0.2,1
2137379,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/21,1.0,1.0,,T0.2,1
2137380,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/22,0.0,1.0,,T0.2,0
2137381,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/23,1.0,1.0,,T0.2,1
2137382,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/24,1.0,1.0,,T0.2,1
2137383,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/25,1.0,1.0,,T0.2,1
2137384,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/26,1.0,1.0,,T0.2,1
2137385,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/27,1.0,1.0,,T0.2,1
2137386,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/28,1.0,1.0,,T0.2,1
2137387,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/29,1.0,1.0,,T0.2,1
2137388,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/30,1.0,1.0,,T0.2,1
2137389,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/31,1.0,1.0,,T0.2,1
2137390,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/32,1.0,1.0,,T0.2,1
2137391,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/33,0.0,1.0,,T0.2,0
2137392,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/34,1.0,1.0,,T0.2,1
2137393,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/35,0.0,1.0,,T0.2,0
2137394,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/36,1.0,1.0,,T0.2,1
2137395,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/37,1.0,1.0,,T0.2,1
2137396,CRUXEval-output-T0.2,claude-3-opus-20240229+cot,CRUXEval-output/38,0.0,1.0,,T0.2,0
