,example_id,min_pass1_of_model,num_solved,models,pass1_of_ex,pass@any_of_ex,tau,example_link
0,block_completion_000000,0.21522113727742676,18,"['codegen-16b' 'codegen-2b' 'codegen-350m' 'codegen-6b' 'codellama-13b'
 'codellama-34b' 'codellama-7b' 'deepseek-coder-1.3b' 'deepseek-coder-33b'
 'deepseek-coder-6.7b' 'gpt-4-1106-preview' 'incoder-1b' 'incoder-6b'
 'phi-2' 'starcoderbase-16b' 'wizardcoder-15b' 'wizardcoder-33b'
 'wizardcoder-3b']",0.8181818181818182,0.8181818181818182,0.18609684207969418,block_completion_000000
1,block_completion_000001,0.21522113727742676,17,"['codegen-16b' 'codegen-2b' 'codegen-350m' 'codellama-13b' 'codellama-34b'
 'codellama-7b' 'deepseek-coder-1.3b' 'deepseek-coder-33b'
 'deepseek-coder-6.7b' 'gpt-3.5-turbo-0301' 'incoder-6b' 'mixtral-8x7b'
 'starcoderbase-16b' 'wizardcoder-15b' 'wizardcoder-1b' 'wizardcoder-33b'
 'wizardcoder-3b']",0.7727272727272727,0.7727272727272727,0.32114196542291285,block_completion_000001
2,block_completion_000002,0.2259620907524411,9,"['codellama-13b' 'codellama-34b' 'codellama-7b' 'deepseek-coder-33b'
 'gpt-3.5-turbo-0301' 'gpt-4-1106-preview' 'incoder-1b'
 'starcoderbase-16b' 'wizardcoder-15b']",0.4090909090909091,0.4090909090909091,0.32238657529913356,block_completion_000002
3,block_completion_000003,0.21522113727742676,19,"['codegen-16b' 'codegen-2b' 'codegen-350m' 'codellama-13b' 'codellama-34b'
 'codellama-7b' 'deepseek-coder-1.3b' 'deepseek-coder-33b'
 'deepseek-coder-6.7b' 'gpt-4-1106-preview' 'incoder-1b' 'mixtral-8x7b'
 'phi-1.5' 'phi-2' 'starcoderbase-16b' 'wizardcoder-15b' 'wizardcoder-1b'
 'wizardcoder-33b' 'wizardcoder-3b']",0.8636363636363636,0.8636363636363636,0.25272870971440103,block_completion_000003
4,block_completion_000004,0.21522113727742676,20,"['codegen-16b' 'codegen-2b' 'codegen-350m' 'codegen-6b' 'codellama-13b'
 'deepseek-coder-1.3b' 'deepseek-coder-33b' 'deepseek-coder-6.7b'
 'gpt-3.5-turbo-0301' 'gpt-4-1106-preview' 'incoder-1b' 'incoder-6b'
 'mixtral-8x7b' 'phi-1.5' 'phi-2' 'starcoderbase-16b' 'wizardcoder-15b'
 'wizardcoder-1b' 'wizardcoder-33b' 'wizardcoder-3b']",0.9090909090909091,0.9090909090909091,-0.0832250378576479,block_completion_000004
5,block_completion_000005,0.35066053991958646,8,"['deepseek-coder-33b' 'deepseek-coder-6.7b' 'gpt-3.5-turbo-0301'
 'gpt-4-1106-preview' 'starcoderbase-16b' 'wizardcoder-15b'
 'wizardcoder-33b' 'wizardcoder-3b']",0.36363636363636365,0.36363636363636365,0.5222329678670935,block_completion_000005
6,block_completion_000006,0.2858701895462378,15,"['codegen-16b' 'codegen-2b' 'codegen-6b' 'codellama-13b'
 'deepseek-coder-1.3b' 'deepseek-coder-33b' 'deepseek-coder-6.7b'
 'gpt-3.5-turbo-0301' 'gpt-4-1106-preview' 'mixtral-8x7b'
 'starcoderbase-16b' 'wizardcoder-15b' 'wizardcoder-1b' 'wizardcoder-33b'
 'wizardcoder-3b']",0.6818181818181818,0.6818181818181818,0.46872942818873026,block_completion_000006
7,block_completion_000007,0.21522113727742676,20,"['codegen-16b' 'codegen-2b' 'codegen-350m' 'codegen-6b' 'codellama-13b'
 'codellama-34b' 'deepseek-coder-1.3b' 'deepseek-coder-33b'
 'deepseek-coder-6.7b' 'gpt-3.5-turbo-0301' 'gpt-4-1106-preview'
 'incoder-1b' 'incoder-6b' 'mixtral-8x7b' 'phi-2' 'starcoderbase-16b'
 'wizardcoder-15b' 'wizardcoder-1b' 'wizardcoder-33b' 'wizardcoder-3b']",0.9090909090909091,0.9090909090909091,0.14564381625088382,block_completion_000007
8,block_completion_000008,0.2858701895462378,10,"['codegen-16b' 'codegen-2b' 'codegen-6b' 'deepseek-coder-1.3b'
 'deepseek-coder-33b' 'gpt-3.5-turbo-0301' 'mixtral-8x7b' 'phi-2'
 'wizardcoder-1b' 'wizardcoder-33b']",0.45454545454545453,0.45454545454545453,0.0,block_completion_000008
9,block_completion_000009,0.2858701895462378,17,"['codegen-16b' 'codegen-2b' 'codegen-6b' 'codellama-13b' 'codellama-34b'
 'codellama-7b' 'deepseek-coder-1.3b' 'deepseek-coder-33b'
 'deepseek-coder-6.7b' 'gpt-3.5-turbo-0301' 'gpt-4-1106-preview'
 'mixtral-8x7b' 'starcoderbase-16b' 'wizardcoder-15b' 'wizardcoder-1b'
 'wizardcoder-33b' 'wizardcoder-3b']",0.7727272727272727,0.7727272727272727,0.5780555377612432,block_completion_000009
10,block_completion_000010,0.4272257323377369,6,"['codellama-13b' 'deepseek-coder-33b' 'mixtral-8x7b' 'starcoderbase-16b'
 'wizardcoder-15b' 'wizardcoder-33b']",0.2727272727272727,0.2727272727272727,0.4969241611489845,block_completion_000010
11,block_completion_000011,0.35066053991958646,12,"['codellama-34b' 'codellama-7b' 'deepseek-coder-1.3b' 'deepseek-coder-33b'
 'deepseek-coder-6.7b' 'gpt-3.5-turbo-0301' 'gpt-4-1106-preview'
 'mixtral-8x7b' 'starcoderbase-16b' 'wizardcoder-15b' 'wizardcoder-33b'
 'wizardcoder-3b']",0.5454545454545454,0.5454545454545454,0.61263747463298,block_completion_000011
12,block_completion_000012,0.21522113727742676,15,"['codegen-350m' 'codegen-6b' 'codellama-13b' 'codellama-7b'
 'deepseek-coder-1.3b' 'deepseek-coder-33b' 'deepseek-coder-6.7b'
 'gpt-3.5-turbo-0301' 'gpt-4-1106-preview' 'mixtral-8x7b'
 'starcoderbase-16b' 'wizardcoder-15b' 'wizardcoder-1b' 'wizardcoder-33b'
 'wizardcoder-3b']",0.6818181818181818,0.6818181818181818,0.48157133033088717,block_completion_000012
13,block_completion_000013,0.21522113727742676,18,"['codegen-16b' 'codegen-350m' 'codegen-6b' 'codellama-13b' 'codellama-34b'
 'deepseek-coder-1.3b' 'deepseek-coder-33b' 'deepseek-coder-6.7b'
 'gpt-3.5-turbo-0301' 'gpt-4-1106-preview' 'incoder-1b' 'incoder-6b'
 'mixtral-8x7b' 'starcoderbase-16b' 'wizardcoder-15b' 'wizardcoder-1b'
 'wizardcoder-33b' 'wizardcoder-3b']",0.8181818181818182,0.8181818181818182,0.2791452631195413,block_completion_000013
14,block_completion_000014,,0,[],0.0,0.0,,block_completion_000014
15,block_completion_000015,0.2858701895462378,15,"['codegen-16b' 'codegen-2b' 'codegen-6b' 'codellama-13b' 'codellama-7b'
 'deepseek-coder-33b' 'deepseek-coder-6.7b' 'gpt-3.5-turbo-0301'
 'mixtral-8x7b' 'phi-2' 'starcoderbase-16b' 'wizardcoder-15b'
 'wizardcoder-1b' 'wizardcoder-33b' 'wizardcoder-3b']",0.6818181818181818,0.6818181818181818,0.3017847003406893,block_completion_000015
16,block_completion_000016,0.27283170591614014,18,"['codegen-16b' 'codegen-2b' 'codegen-6b' 'codellama-13b' 'codellama-34b'
 'codellama-7b' 'deepseek-coder-1.3b' 'deepseek-coder-33b'
 'deepseek-coder-6.7b' 'gpt-3.5-turbo-0301' 'gpt-4-1106-preview'
 'incoder-6b' 'mixtral-8x7b' 'phi-2' 'starcoderbase-16b' 'wizardcoder-15b'
 'wizardcoder-33b' 'wizardcoder-3b']",0.8181818181818182,0.8181818181818182,0.48075017537254333,block_completion_000016
17,block_completion_000017,0.29534750143595634,13,"['codegen-16b' 'codegen-6b' 'codellama-13b' 'codellama-34b'
 'deepseek-coder-1.3b' 'deepseek-coder-33b' 'deepseek-coder-6.7b'
 'gpt-3.5-turbo-0301' 'mixtral-8x7b' 'starcoderbase-16b' 'wizardcoder-15b'
 'wizardcoder-33b' 'wizardcoder-3b']",0.5909090909090909,0.5909090909090909,0.5170350735929501,block_completion_000017
18,block_completion_000018,0.21522113727742676,19,"['codegen-16b' 'codegen-2b' 'codegen-350m' 'codegen-6b' 'codellama-34b'
 'deepseek-coder-1.3b' 'deepseek-coder-33b' 'deepseek-coder-6.7b'
 'gpt-3.5-turbo-0301' 'gpt-4-1106-preview' 'incoder-1b' 'incoder-6b'
 'mixtral-8x7b' 'phi-1.5' 'phi-2' 'starcoderbase-16b' 'wizardcoder-15b'
 'wizardcoder-1b' 'wizardcoder-33b']",0.8636363636363636,0.8636363636363636,-0.1481513125912006,block_completion_000018
19,block_completion_000019,0.21522113727742676,13,"['codegen-16b' 'codegen-350m' 'codegen-6b' 'codellama-13b' 'codellama-34b'
 'deepseek-coder-1.3b' 'gpt-4-1106-preview' 'incoder-1b' 'incoder-6b'
 'phi-1.5' 'wizardcoder-15b' 'wizardcoder-1b' 'wizardcoder-33b']",0.5909090909090909,0.5909090909090909,-0.18856573272213473,block_completion_000019
20,block_completion_000020,0.21522113727742676,17,"['codegen-16b' 'codegen-2b' 'codegen-350m' 'codellama-13b' 'codellama-34b'
 'deepseek-coder-1.3b' 'deepseek-coder-33b' 'deepseek-coder-6.7b'
 'gpt-3.5-turbo-0301' 'gpt-4-1106-preview' 'incoder-1b' 'incoder-6b'
 'mixtral-8x7b' 'wizardcoder-15b' 'wizardcoder-1b' 'wizardcoder-33b'
 'wizardcoder-3b']",0.7727272727272727,0.7727272727272727,0.14986625053069266,block_completion_000020
21,block_completion_000021,0.2259620907524411,18,"['codegen-16b' 'codegen-2b' 'codegen-6b' 'codellama-13b' 'codellama-34b'
 'codellama-7b' 'deepseek-coder-1.3b' 'deepseek-coder-33b'
 'deepseek-coder-6.7b' 'gpt-3.5-turbo-0301' 'incoder-1b' 'incoder-6b'
 'mixtral-8x7b' 'starcoderbase-16b' 'wizardcoder-15b' 'wizardcoder-1b'
 'wizardcoder-33b' 'wizardcoder-3b']",0.8181818181818182,0.8181818181818182,0.2791452631195413,block_completion_000021
22,block_completion_000022,0.35066053991958646,5,"['deepseek-coder-33b' 'gpt-3.5-turbo-0301' 'mixtral-8x7b'
 'wizardcoder-15b' 'wizardcoder-33b']",0.22727272727272727,0.22727272727272727,0.3068689891818945,block_completion_000022
23,block_completion_000023,0.2858701895462378,7,"['codegen-2b' 'codellama-34b' 'deepseek-coder-33b' 'gpt-4-1106-preview'
 'wizardcoder-1b' 'wizardcoder-33b' 'wizardcoder-3b']",0.3181818181818182,0.3181818181818182,0.22473328748774737,block_completion_000023
