,benchmark_id,model,example_id,pass1,count,date,hyperparams,correct
2107758,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/0,1.0,1.0,,T0.2,1
2107759,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/1,1.0,1.0,,T0.2,1
2107760,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/2,0.0,1.0,,T0.2,0
2107761,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/3,1.0,1.0,,T0.2,1
2107762,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/4,1.0,1.0,,T0.2,1
2107763,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/5,1.0,1.0,,T0.2,1
2107764,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/6,1.0,1.0,,T0.2,1
2107765,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/7,1.0,1.0,,T0.2,1
2107766,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/8,1.0,1.0,,T0.2,1
2107767,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/9,1.0,1.0,,T0.2,1
2107768,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/10,1.0,1.0,,T0.2,1
2107769,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/11,1.0,1.0,,T0.2,1
2107770,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/12,0.0,1.0,,T0.2,0
2107771,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/13,1.0,1.0,,T0.2,1
2107772,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/14,1.0,1.0,,T0.2,1
2107773,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/15,0.0,1.0,,T0.2,0
2107774,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/16,0.0,1.0,,T0.2,0
2107775,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/17,1.0,1.0,,T0.2,1
2107776,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/18,1.0,1.0,,T0.2,1
2107777,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/19,1.0,1.0,,T0.2,1
2107778,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/20,1.0,1.0,,T0.2,1
2107779,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/21,0.0,1.0,,T0.2,0
2107780,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/22,1.0,1.0,,T0.2,1
2107781,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/23,1.0,1.0,,T0.2,1
2107782,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/24,1.0,1.0,,T0.2,1
2107783,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/25,1.0,1.0,,T0.2,1
2107784,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/26,1.0,1.0,,T0.2,1
2107785,CRUXEval-input-T0.2,claude-3-opus-20240229+cot,CRUXEval-input/27,1.0,1.0,,T0.2,1
