,example_id,min_pass1_of_model,num_solved,models,pass1_of_ex,pass@any_of_ex,tau,example_link
0,0,0.08596989709722008,41,"['llama-3.1-70B-instruct' 'llama-3.1-8B-instruct' 'llama-3.2-3B-instruct'
 'llama-3.2-1B-instruct' 'qwen1.5-14b-chat' 'qwen1.5-32b-chat'
 'qwen1.5-72b-chat' 'qwen1.5-7b-chat' 'qwen2-1.5b-instruct'
 'qwen2-72b-instruct' 'qwen2-7b-instruct' 'qwen2-math-1.5b-instruct'
 'qwen2-math-72b-instruct' 'qwen2-math-7b-instruct'
 'qwen2.5-coder-0.5b-instruct' 'qwen2.5-coder-1.5b-instruct'
 'qwen2.5-coder-14b-instruct' 'qwen2.5-coder-32b-instruct'
 'qwen2.5-coder-3b-instruct' 'qwen2.5-coder-7b-instruct' 'qwen3-0.6b'
 'qwen3-1.7b' 'qwen3-14b' 'qwen3-32b' 'qwen3-4b' 'qwen3-8b'
 'deepseek_r1_distill_llama_70b' 'deepseek_r1_distill_llama_8b'
 'deepseek_r1_distill_qwen_1.5b' 'deepseek_r1_distill_qwen_14b'
 'deepseek_r1_distill_qwen_32b' 'deepseek_r1_distill_qwen_7b'
 'deepseek_v2_lite_chat' 'mistralai_mathstral_7b_v0.1'
 'mistralai_ministral_8b_instruct_2410'
 'mistralai_mistral_7b_instruct_v0.2' 'mistralai_mistral_7b_instruct_v0.3'
 'mistralai_mixtral_8x22b_instruct_v0.1'
 'mistralai_mixtral_8x7b_instruct_v0.1' 'google_gemma_3_12b_it'
 'google_gemma_3_4b_it']",0.7325925925955554,0.9111111111111111,0.5718485301371014,0
1,1,0.11293708083297496,30,"['llama-3.1-70B-instruct' 'llama-3.1-8B-instruct' 'llama-3.2-3B-instruct'
 'qwen1.5-1.8b-chat' 'qwen1.5-72b-chat' 'qwen2-72b-instruct'
 'qwen2-math-1.5b-instruct' 'qwen2-math-72b-instruct'
 'qwen2-math-7b-instruct' 'qwen2.5-coder-1.5b-instruct'
 'qwen2.5-coder-32b-instruct' 'qwen2.5-coder-3b-instruct' 'qwen3-0.6b'
 'qwen3-1.7b' 'qwen3-14b' 'qwen3-4b' 'qwen3-8b'
 'deepseek_r1_distill_llama_70b' 'deepseek_r1_distill_llama_8b'
 'deepseek_r1_distill_qwen_32b' 'deepseek_r1_distill_qwen_7b'
 'deepseek_v2_lite_chat' 'mistralai_mathstral_7b_v0.1'
 'mistralai_mistral_7b_instruct_v0.1' 'mistralai_mistral_7b_instruct_v0.2'
 'mistralai_mistral_7b_instruct_v0.3'
 'mistralai_mixtral_8x22b_instruct_v0.1'
 'mistralai_mixtral_8x7b_instruct_v0.1' 'google_gemma_3_12b_it'
 'google_gemma_3_4b_it']",0.5166666666666666,0.6666666666666666,0.4570339253053419,1
2,10,0.08596989709722008,36,"['llama-3.1-70B-instruct' 'llama-3.1-8B-instruct' 'llama-3.2-3B-instruct'
 'qwen1.5-1.8b-chat' 'qwen1.5-32b-chat' 'qwen1.5-72b-chat'
 'qwen2-0.5b-instruct' 'qwen2-1.5b-instruct' 'qwen2-72b-instruct'
 'qwen2-7b-instruct' 'qwen2-math-1.5b-instruct' 'qwen2-math-72b-instruct'
 'qwen2-math-7b-instruct' 'qwen2.5-coder-0.5b-instruct'
 'qwen2.5-coder-1.5b-instruct' 'qwen2.5-coder-14b-instruct'
 'qwen2.5-coder-32b-instruct' 'qwen2.5-coder-3b-instruct'
 'qwen2.5-coder-7b-instruct' 'qwen3-0.6b' 'qwen3-14b' 'qwen3-32b'
 'qwen3-4b' 'qwen3-8b' 'deepseek_r1_distill_qwen_1.5b'
 'deepseek_r1_distill_qwen_32b' 'deepseek_r1_distill_qwen_7b'
 'deepseek_v2_lite_chat' 'mistralai_mathstral_7b_v0.1'
 'mistralai_ministral_8b_instruct_2410'
 'mistralai_mistral_7b_instruct_v0.2' 'mistralai_mistral_7b_instruct_v0.3'
 'mistralai_mixtral_8x22b_instruct_v0.1'
 'mistralai_mixtral_8x7b_instruct_v0.1' 'google_gemma_3_12b_it'
 'google_gemma_3_4b_it']",0.6333333333355555,0.8,0.5787176582907905,10
3,100,0.08596989709722008,35,"['llama-3.1-70B-instruct' 'llama-3.1-8B-instruct' 'llama-3.2-3B-instruct'
 'qwen1.5-32b-chat' 'qwen1.5-72b-chat' 'qwen2-72b-instruct'
 'qwen2-7b-instruct' 'qwen2-math-1.5b-instruct' 'qwen2-math-72b-instruct'
 'qwen2-math-7b-instruct' 'qwen2.5-coder-0.5b-instruct'
 'qwen2.5-coder-1.5b-instruct' 'qwen2.5-coder-14b-instruct'
 'qwen2.5-coder-32b-instruct' 'qwen2.5-coder-3b-instruct'
 'qwen2.5-coder-7b-instruct' 'qwen3-0.6b' 'qwen3-1.7b' 'qwen3-14b'
 'qwen3-32b' 'qwen3-4b' 'qwen3-8b' 'deepseek_r1_distill_llama_70b'
 'deepseek_r1_distill_qwen_1.5b' 'deepseek_r1_distill_qwen_7b'
 'deepseek_v2_lite_chat' 'mistralai_mathstral_7b_v0.1'
 'mistralai_ministral_8b_instruct_2410'
 'mistralai_mistral_7b_instruct_v0.1' 'mistralai_mistral_7b_instruct_v0.2'
 'mistralai_mistral_7b_instruct_v0.3'
 'mistralai_mixtral_8x22b_instruct_v0.1'
 'mistralai_mixtral_8x7b_instruct_v0.1' 'google_gemma_3_12b_it'
 'google_gemma_3_4b_it']",0.698148148151111,0.7777777777777778,0.6140936240279355,100
4,1000,0.5829621665910766,8,"['qwen2-math-72b-instruct' 'qwen3-32b' 'qwen3-4b' 'qwen3-8b'
 'mistralai_mixtral_8x22b_instruct_v0.1'
 'mistralai_mixtral_8x7b_instruct_v0.1' 'google_gemma_3_12b_it'
 'google_gemma_3_4b_it']",0.10407407407333334,0.17777777777777778,0.43350812325640786,1000
5,1001,0.7262069318590232,3,['qwen3-14b' 'qwen3-4b' 'qwen3-8b'],0.06666666666666667,0.06666666666666667,0.3227765545771628,1001
6,1002,0.4512363692203041,8,"['qwen2-72b-instruct' 'qwen3-14b' 'qwen3-32b' 'qwen3-8b'
 'mistralai_mistral_7b_instruct_v0.3'
 'mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_3_12b_it'
 'google_gemma_3_4b_it']",0.12962962962888888,0.17777777777777778,0.412348815617706,1002
7,1003,,0,[],0.0,0.0,,1003
8,1004,0.5829621665910766,5,"['qwen3-32b' 'qwen3-4b' 'mistralai_mixtral_8x7b_instruct_v0.1'
 'google_gemma_3_12b_it' 'google_gemma_3_4b_it']",0.058888888888888886,0.1111111111111111,0.32458950284681937,1004
9,1005,0.35780474069271995,14,"['llama-3.1-8B-instruct' 'qwen2-72b-instruct' 'qwen2-math-72b-instruct'
 'qwen2.5-coder-14b-instruct' 'qwen2.5-coder-32b-instruct' 'qwen3-14b'
 'qwen3-32b' 'qwen3-4b' 'qwen3-8b' 'mistralai_mathstral_7b_v0.1'
 'mistralai_mistral_7b_instruct_v0.1'
 'mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_3_12b_it'
 'google_gemma_3_4b_it']",0.23333333333333334,0.3111111111111111,0.5477632093445738,1005
10,1006,0.7326063584702811,4,"['llama-3.1-70B-instruct' 'qwen2.5-coder-32b-instruct' 'qwen3-32b'
 'google_gemma_3_12b_it']",0.07407407407333334,0.08888888888888889,0.3664463797788281,1006
11,1007,0.4670557518046383,6,"['llama-3.1-70B-instruct' 'qwen2.5-coder-14b-instruct'
 'qwen2.5-coder-32b-instruct' 'qwen2.5-coder-3b-instruct' 'qwen3-8b'
 'mistralai_mixtral_8x7b_instruct_v0.1']",0.07592592592444444,0.13333333333333333,0.3174925788796376,1007
12,1008,,0,[],0.0,0.0,,1008
13,1009,0.4512363692203041,6,"['qwen3-32b' 'qwen3-8b' 'mistralai_mistral_7b_instruct_v0.3'
 'mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_3_12b_it'
 'google_gemma_3_4b_it']",0.10740740740666668,0.13333333333333333,0.33640559489972127,1009
14,101,0.11622638611580402,38,"['llama-3.1-70B-instruct' 'llama-3.1-8B-instruct' 'llama-3.2-3B-instruct'
 'llama-3.2-1B-instruct' 'qwen1.5-14b-chat' 'qwen1.5-32b-chat'
 'qwen1.5-72b-chat' 'qwen1.5-7b-chat' 'qwen2-1.5b-instruct'
 'qwen2-72b-instruct' 'qwen2-math-1.5b-instruct' 'qwen2-math-72b-instruct'
 'qwen2-math-7b-instruct' 'qwen2.5-coder-0.5b-instruct'
 'qwen2.5-coder-1.5b-instruct' 'qwen2.5-coder-14b-instruct'
 'qwen2.5-coder-32b-instruct' 'qwen2.5-coder-3b-instruct'
 'qwen2.5-coder-7b-instruct' 'qwen3-0.6b' 'qwen3-1.7b' 'qwen3-14b'
 'qwen3-32b' 'qwen3-4b' 'qwen3-8b' 'deepseek_r1_distill_llama_8b'
 'deepseek_r1_distill_qwen_14b' 'deepseek_r1_distill_qwen_7b'
 'deepseek_v2_lite_chat' 'mistralai_mathstral_7b_v0.1'
 'mistralai_ministral_8b_instruct_2410'
 'mistralai_mistral_7b_instruct_v0.1' 'mistralai_mistral_7b_instruct_v0.2'
 'mistralai_mistral_7b_instruct_v0.3'
 'mistralai_mixtral_8x22b_instruct_v0.1'
 'mistralai_mixtral_8x7b_instruct_v0.1' 'google_gemma_3_12b_it'
 'google_gemma_3_4b_it']",0.6962962962933333,0.8444444444444444,0.6380330521944827,101
15,1010,,0,[],0.0,0.0,,1010
16,1011,,0,[],0.0,0.0,,1011
17,1012,,0,[],0.0,0.0,,1012
18,1013,0.5829621665910766,6,"['qwen2-72b-instruct' 'qwen3-32b' 'qwen3-8b'
 'mistralai_mixtral_8x7b_instruct_v0.1' 'google_gemma_3_12b_it'
 'google_gemma_3_4b_it']",0.09703703703777777,0.13333333333333333,0.3687960298325725,1013
19,1014,0.6442021194900936,9,"['llama-3.1-70B-instruct' 'qwen2.5-coder-32b-instruct' 'qwen3-14b'
 'qwen3-32b' 'qwen3-4b' 'qwen3-8b' 'mistralai_mixtral_8x22b_instruct_v0.1'
 'google_gemma_3_12b_it' 'google_gemma_3_4b_it']",0.14481481481555553,0.2,0.5540572159126007,1014
20,1015,0.529974914248011,1,['mistralai_mathstral_7b_v0.1'],0.007407407406666666,0.022222222222222223,0.0574959574576069,1015
21,1016,0.8124712025802489,2,['llama-3.1-70B-instruct' 'google_gemma_3_12b_it'],0.029629629628888886,0.044444444444444446,0.2759991822258568,1016
22,1017,0.6442021194900936,4,"['qwen3-32b' 'qwen3-4b' 'mistralai_mixtral_8x22b_instruct_v0.1'
 'google_gemma_3_4b_it']",0.06111111111111111,0.08888888888888889,0.29581788025311967,1017
23,1018,0.6373828904958224,6,"['llama-3.1-70B-instruct' 'qwen1.5-72b-chat' 'qwen2.5-coder-14b-instruct'
 'qwen3-32b' 'google_gemma_3_12b_it' 'google_gemma_3_4b_it']",0.06814814814666666,0.13333333333333333,0.3781599506400779,1018
24,1019,0.353350739771863,6,"['llama-3.1-70B-instruct' 'qwen2-72b-instruct' 'qwen3-32b'
 'mistralai_mistral_7b_instruct_v0.2' 'google_gemma_3_12b_it'
 'google_gemma_3_4b_it']",0.11407407407333332,0.13333333333333333,0.33640559489972127,1019
25,102,0.08596989709722008,39,"['llama-3.1-70B-instruct' 'llama-3.1-8B-instruct' 'llama-3.2-3B-instruct'
 'llama-3.2-1B-instruct' 'qwen1.5-0.5b-chat' 'qwen1.5-32b-chat'
 'qwen1.5-72b-chat' 'qwen2-0.5b-instruct' 'qwen2-1.5b-instruct'
 'qwen2-72b-instruct' 'qwen2-7b-instruct' 'qwen2-math-1.5b-instruct'
 'qwen2-math-72b-instruct' 'qwen2-math-7b-instruct'
 'qwen2.5-coder-0.5b-instruct' 'qwen2.5-coder-1.5b-instruct'
 'qwen2.5-coder-14b-instruct' 'qwen2.5-coder-32b-instruct'
 'qwen2.5-coder-3b-instruct' 'qwen2.5-coder-7b-instruct' 'qwen3-1.7b'
 'qwen3-14b' 'qwen3-32b' 'qwen3-4b' 'qwen3-8b'
 'deepseek_r1_distill_llama_70b' 'deepseek_r1_distill_llama_8b'
 'deepseek_r1_distill_qwen_1.5b' 'deepseek_r1_distill_qwen_14b'
 'deepseek_r1_distill_qwen_7b' 'deepseek_v2_lite_chat'
 'mistralai_mathstral_7b_v0.1' 'mistralai_ministral_8b_instruct_2410'
 'mistralai_mistral_7b_instruct_v0.1' 'mistralai_mistral_7b_instruct_v0.3'
 'mistralai_mixtral_8x22b_instruct_v0.1'
 'mistralai_mixtral_8x7b_instruct_v0.1' 'google_gemma_3_12b_it'
 'google_gemma_3_4b_it']",0.6648148148177777,0.8666666666666667,0.4745484797984482,102
26,1020,0.4902856704039318,8,"['llama-3.1-70B-instruct' 'qwen2-math-72b-instruct' 'qwen3-1.7b'
 'qwen3-32b' 'mistralai_mathstral_7b_v0.1'
 'mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_3_12b_it'
 'google_gemma_3_4b_it']",0.12222222222222222,0.17777777777777778,0.39565969981289734,1020
27,1021,0.30379358009522345,7,"['qwen2-72b-instruct' 'qwen3-32b' 'qwen3-4b' 'qwen3-8b'
 'deepseek_r1_distill_llama_70b' 'google_gemma_3_12b_it'
 'google_gemma_3_4b_it']",0.1281481481488889,0.15555555555555556,0.35454457892072183,1021
28,1022,0.22108739056980495,9,"['qwen2-math-72b-instruct' 'qwen3-14b' 'qwen3-32b' 'qwen3-4b' 'qwen3-8b'
 'deepseek_r1_distill_llama_8b' 'mistralai_mathstral_7b_v0.1'
 'mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_3_12b_it']",0.1481481481488889,0.2,0.3907572368239795,1022
29,1023,0.2870910766395331,10,"['llama-3.1-70B-instruct' 'llama-3.1-8B-instruct' 'qwen2-math-7b-instruct'
 'qwen2.5-coder-1.5b-instruct' 'qwen3-14b' 'qwen3-32b' 'qwen3-4b'
 'qwen3-8b' 'deepseek_v2_lite_chat' 'mistralai_mathstral_7b_v0.1']",0.15,0.2222222222222222,0.3711029237090719,1023
30,1024,,0,[],0.0,0.0,,1024
31,1025,,0,[],0.0,0.0,,1025
32,1026,0.5829621665910766,8,"['llama-3.1-70B-instruct' 'qwen2.5-coder-14b-instruct' 'qwen3-14b'
 'qwen3-32b' 'qwen3-4b' 'mistralai_mixtral_8x22b_instruct_v0.1'
 'mistralai_mixtral_8x7b_instruct_v0.1' 'google_gemma_3_4b_it']",0.11074074074,0.17777777777777778,0.46049807049328456,1026
33,1027,0.4670557518046383,7,"['qwen1.5-72b-chat' 'qwen2.5-coder-32b-instruct'
 'qwen2.5-coder-3b-instruct' 'qwen3-32b' 'qwen3-4b'
 'mistralai_mathstral_7b_v0.1' 'google_gemma_3_4b_it']",0.07296296296222222,0.15555555555555556,0.33946557380720666,1027
34,1028,0.6373828904958224,4,"['qwen2.5-coder-14b-instruct' 'qwen3-32b' 'qwen3-4b'
 'google_gemma_3_12b_it']",0.046296296295555546,0.08888888888888889,0.3315101656042992,1028
35,1029,0.529974914248011,9,"['qwen2-72b-instruct' 'qwen2.5-coder-14b-instruct'
 'qwen2.5-coder-32b-instruct' 'qwen3-4b' 'qwen3-8b'
 'mistralai_mathstral_7b_v0.1' 'mistralai_mixtral_8x7b_instruct_v0.1'
 'google_gemma_3_12b_it' 'google_gemma_3_4b_it']",0.14814814814666669,0.2,0.4418933127810952,1029
36,103,0.08596989709722008,37,"['llama-3.1-70B-instruct' 'llama-3.1-8B-instruct' 'llama-3.2-3B-instruct'
 'qwen1.5-32b-chat' 'qwen1.5-72b-chat' 'qwen2-1.5b-instruct'
 'qwen2-72b-instruct' 'qwen2-7b-instruct' 'qwen2-math-1.5b-instruct'
 'qwen2-math-72b-instruct' 'qwen2-math-7b-instruct'
 'qwen2.5-coder-0.5b-instruct' 'qwen2.5-coder-1.5b-instruct'
 'qwen2.5-coder-14b-instruct' 'qwen2.5-coder-32b-instruct'
 'qwen2.5-coder-3b-instruct' 'qwen2.5-coder-7b-instruct' 'qwen3-0.6b'
 'qwen3-1.7b' 'qwen3-14b' 'qwen3-32b' 'qwen3-4b' 'qwen3-8b'
 'deepseek_r1_distill_llama_70b' 'deepseek_r1_distill_qwen_1.5b'
 'deepseek_r1_distill_qwen_14b' 'deepseek_r1_distill_qwen_7b'
 'deepseek_v2_lite_chat' 'mistralai_mathstral_7b_v0.1'
 'mistralai_ministral_8b_instruct_2410'
 'mistralai_mistral_7b_instruct_v0.1' 'mistralai_mistral_7b_instruct_v0.2'
 'mistralai_mistral_7b_instruct_v0.3'
 'mistralai_mixtral_8x22b_instruct_v0.1'
 'mistralai_mixtral_8x7b_instruct_v0.1' 'google_gemma_3_12b_it'
 'google_gemma_3_4b_it']",0.656666666668889,0.8222222222222222,0.5221177319538004,103
37,1030,0.35780474069271995,7,"['qwen2.5-coder-14b-instruct' 'qwen3-14b' 'qwen3-32b' 'qwen3-4b'
 'mistralai_mistral_7b_instruct_v0.1'
 'mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_3_12b_it']",0.07962962962888888,0.15555555555555556,0.3972303546231832,1030
38,1031,,0,[],0.0,0.0,,1031
39,1032,,0,[],0.0,0.0,,1032
40,1033,0.353350739771863,16,"['llama-3.1-70B-instruct' 'qwen1.5-14b-chat' 'qwen1.5-72b-chat'
 'qwen2-72b-instruct' 'qwen2-math-72b-instruct'
 'qwen2.5-coder-32b-instruct' 'qwen3-14b' 'qwen3-32b' 'qwen3-4b'
 'qwen3-8b' 'deepseek_v2_lite_chat' 'mistralai_mathstral_7b_v0.1'
 'mistralai_mistral_7b_instruct_v0.2'
 'mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_3_12b_it'
 'google_gemma_3_4b_it']",0.2555555555533333,0.35555555555555557,0.5687462456848213,1033
41,1034,0.4648543490500998,17,"['llama-3.1-70B-instruct' 'llama-3.1-8B-instruct' 'qwen1.5-32b-chat'
 'qwen2-72b-instruct' 'qwen2-math-72b-instruct'
 'qwen2.5-coder-14b-instruct' 'qwen2.5-coder-3b-instruct'
 'qwen2.5-coder-7b-instruct' 'qwen3-14b' 'qwen3-32b' 'qwen3-4b' 'qwen3-8b'
 'mistralai_mathstral_7b_v0.1' 'mistralai_mixtral_8x22b_instruct_v0.1'
 'mistralai_mixtral_8x7b_instruct_v0.1' 'google_gemma_3_12b_it'
 'google_gemma_3_4b_it']",0.24037037036666667,0.37777777777777777,0.6263079813018594,1034
42,1035,0.353350739771863,14,"['llama-3.1-70B-instruct' 'qwen1.5-32b-chat' 'qwen2-72b-instruct'
 'qwen2-math-72b-instruct' 'qwen2.5-coder-14b-instruct' 'qwen3-14b'
 'qwen3-32b' 'qwen3-4b' 'qwen3-8b' 'mistralai_mathstral_7b_v0.1'
 'mistralai_mistral_7b_instruct_v0.2'
 'mistralai_mixtral_8x22b_instruct_v0.1' 'google_gemma_3_12b_it'
 'google_gemma_3_4b_it']",0.22037037036888887,0.3111111111111111,0.5804315235817402,1035
43,1036,0.353350739771863,3,"['qwen2.5-coder-3b-instruct' 'qwen3-8b'
 'mistralai_mistral_7b_instruct_v0.2']",0.027777777777777776,0.06666666666666667,0.06995641673740481,1036
44,1037,0.7326063584702811,4,['qwen3-14b' 'qwen3-32b' 'qwen3-4b' 'google_gemma_3_12b_it'],0.08148148148222221,0.08888888888888889,0.38612135318977187,1037
