,benchmark_id,model,example_id,pass1,count,date,hyperparams,correct
2599578,terminal-bench,20250711_openhands_claude-4-sonnet,super-benchmark-upet,0.0,5.0,,,0
2599579,terminal-bench,20250711_openhands_claude-4-sonnet,build-linux-kernel-qemu,0.0,5.0,,,0
2599580,terminal-bench,20250711_openhands_claude-4-sonnet,eval-mteb,1.0,5.0,,,5
2599581,terminal-bench,20250711_openhands_claude-4-sonnet,eval-mteb.hard,0.8,5.0,,,4
2599582,terminal-bench,20250711_openhands_claude-4-sonnet,play-zork,0.0,5.0,,,0
2599583,terminal-bench,20250711_openhands_claude-4-sonnet,swe-bench-astropy-2,0.0,5.0,,,0
2599584,terminal-bench,20250711_openhands_claude-4-sonnet,run-pdp11-code,0.0,5.0,,,0
2599585,terminal-bench,20250711_openhands_claude-4-sonnet,conda-env-conflict-resolution,0.2,5.0,,,1
2599586,terminal-bench,20250711_openhands_claude-4-sonnet,swe-bench-fsspec,1.0,5.0,,,5
2599587,terminal-bench,20250711_openhands_claude-4-sonnet,swe-bench-astropy-1,1.0,5.0,,,5
2599588,terminal-bench,20250711_openhands_claude-4-sonnet,blind-maze-explorer-algorithm.hard,0.8,5.0,,,4
2599589,terminal-bench,20250711_openhands_claude-4-sonnet,blind-maze-explorer-5x5,0.2,5.0,,,1
2599590,terminal-bench,20250711_openhands_claude-4-sonnet,blind-maze-explorer-algorithm.easy,1.0,5.0,,,5
2599591,terminal-bench,20250711_openhands_claude-4-sonnet,blind-maze-explorer-algorithm,0.6,5.0,,,3
2599592,terminal-bench,20250711_openhands_claude-4-sonnet,incompatible-python-fasttext.base_with_hint,0.4,5.0,,,2
2599593,terminal-bench,20250711_openhands_claude-4-sonnet,incompatible-python-fasttext,0.0,5.0,,,0
2599594,terminal-bench,20250711_openhands_claude-4-sonnet,grid-pattern-transform,1.0,5.0,,,5
2599595,terminal-bench,20250711_openhands_claude-4-sonnet,train-fasttext,0.0,5.0,,,0
2599596,terminal-bench,20250711_openhands_claude-4-sonnet,count-dataset-tokens,0.0,5.0,,,0
2599597,terminal-bench,20250711_openhands_claude-4-sonnet,qemu-startup,0.2,5.0,,,1
2599598,terminal-bench,20250711_openhands_claude-4-sonnet,download-youtube,0.0,5.0,,,0
2599599,terminal-bench,20250711_openhands_claude-4-sonnet,qemu-alpine-ssh,0.0,5.0,,,0
2599600,terminal-bench,20250711_openhands_claude-4-sonnet,git-multibranch,0.0,5.0,,,0
2599601,terminal-bench,20250711_openhands_claude-4-sonnet,cron-broken-network,0.0,5.0,,,0
2599602,terminal-bench,20250711_openhands_claude-4-sonnet,pytorch-model-cli.hard,0.8,5.0,,,4
2599603,terminal-bench,20250711_openhands_claude-4-sonnet,pytorch-model-cli.easy,0.8,5.0,,,4
2599604,terminal-bench,20250711_openhands_claude-4-sonnet,pytorch-model-cli,1.0,5.0,,,5
2599605,terminal-bench,20250711_openhands_claude-4-sonnet,csv-to-parquet,1.0,5.0,,,5
2599606,terminal-bench,20250711_openhands_claude-4-sonnet,heterogeneous-dates,1.0,5.0,,,5
2599607,terminal-bench,20250711_openhands_claude-4-sonnet,sanitize-git-repo,0.2,5.0,,,1
2599608,terminal-bench,20250711_openhands_claude-4-sonnet,sqlite-db-truncate,0.0,5.0,,,0
2599609,terminal-bench,20250711_openhands_claude-4-sonnet,fix-permissions,1.0,5.0,,,5
2599610,terminal-bench,20250711_openhands_claude-4-sonnet,build-initramfs-qemu,0.0,5.0,,,0
2599611,terminal-bench,20250711_openhands_claude-4-sonnet,processing-pipeline,1.0,5.0,,,5
2599612,terminal-bench,20250711_openhands_claude-4-sonnet,git-workflow-hack,1.0,5.0,,,5
2599613,terminal-bench,20250711_openhands_claude-4-sonnet,raman-fitting,0.0,5.0,,,0
2599614,terminal-bench,20250711_openhands_claude-4-sonnet,write-compressor,0.0,5.0,,,0
2599615,terminal-bench,20250711_openhands_claude-4-sonnet,fix-pandas-version,0.0,5.0,,,0
2599616,terminal-bench,20250711_openhands_claude-4-sonnet,new-encrypt-command,0.2,5.0,,,1
2599617,terminal-bench,20250711_openhands_claude-4-sonnet,sqlite-with-gcov,1.0,5.0,,,5
2599618,terminal-bench,20250711_openhands_claude-4-sonnet,crack-7z-hash.easy,1.0,5.0,,,5
2599619,terminal-bench,20250711_openhands_claude-4-sonnet,swe-bench-langcodes,1.0,5.0,,,5
2599620,terminal-bench,20250711_openhands_claude-4-sonnet,hf-model-inference,0.0,5.0,,,0
2599621,terminal-bench,20250711_openhands_claude-4-sonnet,hello-world,1.0,5.0,,,5
2599622,terminal-bench,20250711_openhands_claude-4-sonnet,sanitize-git-repo.hard,0.4,5.0,,,2
2599623,terminal-bench,20250711_openhands_claude-4-sonnet,path-tracing-reverse,0.0,5.0,,,0
2599624,terminal-bench,20250711_openhands_claude-4-sonnet,simple-web-scraper,1.0,5.0,,,5
2599625,terminal-bench,20250711_openhands_claude-4-sonnet,configure-git-webserver,0.4,5.0,,,2
2599626,terminal-bench,20250711_openhands_claude-4-sonnet,gpt2-codegolf,0.0,5.0,,,0
2599627,terminal-bench,20250711_openhands_claude-4-sonnet,oom,0.0,5.0,,,0
2599628,terminal-bench,20250711_openhands_claude-4-sonnet,get-bitcoin-nodes,0.0,5.0,,,0
2599629,terminal-bench,20250711_openhands_claude-4-sonnet,simple-sheets-put,0.6,5.0,,,3
2599630,terminal-bench,20250711_openhands_claude-4-sonnet,create-bucket,1.0,5.0,,,5
