,model,benchmark_id,temperature,rl_thinking_length,example_id,count,correct,pass1
36886,llama-3.1-70B-instruct,math_cot,1.0,-1,0,3,0,0.0
36887,llama-3.1-70B-instruct,math_cot,1.0,-1,1,3,3,1.0
36888,llama-3.1-70B-instruct,math_cot,1.0,-1,2,3,3,1.0
36889,llama-3.1-70B-instruct,math_cot,1.0,-1,3,3,3,1.0
36890,llama-3.1-70B-instruct,math_cot,1.0,-1,4,3,0,0.0
36891,llama-3.1-70B-instruct,math_cot,1.0,-1,5,3,0,0.0
36892,llama-3.1-70B-instruct,math_cot,1.0,-1,6,3,3,1.0
36893,llama-3.1-70B-instruct,math_cot,1.0,-1,7,3,0,0.0
36894,llama-3.1-70B-instruct,math_cot,1.0,-1,8,3,3,1.0
36895,llama-3.1-70B-instruct,math_cot,1.0,-1,9,3,3,1.0
36896,llama-3.1-70B-instruct,math_cot,1.0,-1,10,3,3,1.0
36897,llama-3.1-70B-instruct,math_cot,1.0,-1,11,3,3,1.0
36898,llama-3.1-70B-instruct,math_cot,1.0,-1,12,3,0,0.0
36899,llama-3.1-70B-instruct,math_cot,1.0,-1,13,3,3,1.0
36900,llama-3.1-70B-instruct,math_cot,1.0,-1,14,3,0,0.0
36901,llama-3.1-70B-instruct,math_cot,1.0,-1,15,3,0,0.0
36902,llama-3.1-70B-instruct,math_cot,1.0,-1,16,3,3,1.0
36903,llama-3.1-70B-instruct,math_cot,1.0,-1,17,3,3,1.0
36904,llama-3.1-70B-instruct,math_cot,1.0,-1,18,3,0,0.0
36905,llama-3.1-70B-instruct,math_cot,1.0,-1,19,3,0,0.0
36906,llama-3.1-70B-instruct,math_cot,1.0,-1,20,3,0,0.0
36907,llama-3.1-70B-instruct,math_cot,1.0,-1,21,3,3,1.0
36908,llama-3.1-70B-instruct,math_cot,1.0,-1,22,3,3,1.0
36909,llama-3.1-70B-instruct,math_cot,1.0,-1,23,3,0,0.0
36910,llama-3.1-70B-instruct,math_cot,1.0,-1,24,3,3,1.0
36911,llama-3.1-70B-instruct,math_cot,1.0,-1,25,3,3,1.0
36912,llama-3.1-70B-instruct,math_cot,1.0,-1,26,3,3,1.0
36913,llama-3.1-70B-instruct,math_cot,1.0,-1,27,3,0,0.0
36914,llama-3.1-70B-instruct,math_cot,1.0,-1,28,3,3,1.0
36915,llama-3.1-70B-instruct,math_cot,1.0,-1,29,3,0,0.0
36916,llama-3.1-70B-instruct,math_cot,1.0,-1,30,3,0,0.0
36917,llama-3.1-70B-instruct,math_cot,1.0,-1,31,3,0,0.0
36918,llama-3.1-70B-instruct,math_cot,1.0,-1,32,3,3,1.0
36919,llama-3.1-70B-instruct,math_cot,1.0,-1,33,3,3,1.0
36920,llama-3.1-70B-instruct,math_cot,1.0,-1,34,3,0,0.0
36921,llama-3.1-70B-instruct,math_cot,1.0,-1,35,3,0,0.0
36922,llama-3.1-70B-instruct,math_cot,1.0,-1,36,3,0,0.0
36923,llama-3.1-70B-instruct,math_cot,1.0,-1,37,3,3,1.0
36924,llama-3.1-70B-instruct,math_cot,1.0,-1,38,3,0,0.0
36925,llama-3.1-70B-instruct,math_cot,1.0,-1,39,3,0,0.0
36926,llama-3.1-70B-instruct,math_cot,1.0,-1,40,3,3,1.0
36927,llama-3.1-70B-instruct,math_cot,1.0,-1,41,3,0,0.0
36928,llama-3.1-70B-instruct,math_cot,1.0,-1,42,3,0,0.0
36929,llama-3.1-70B-instruct,math_cot,1.0,-1,43,3,0,0.0
36930,llama-3.1-70B-instruct,math_cot,1.0,-1,44,3,0,0.0
36931,llama-3.1-70B-instruct,math_cot,1.0,-1,45,3,0,0.0
36932,llama-3.1-70B-instruct,math_cot,1.0,-1,46,3,0,0.0
36933,llama-3.1-70B-instruct,math_cot,1.0,-1,47,3,3,1.0
36934,llama-3.1-70B-instruct,math_cot,1.0,-1,48,3,0,0.0
36935,llama-3.1-70B-instruct,math_cot,1.0,-1,49,3,3,1.0
36936,llama-3.1-70B-instruct,math_cot,1.0,-1,50,3,0,0.0
36937,llama-3.1-70B-instruct,math_cot,1.0,-1,51,3,0,0.0
36938,llama-3.1-70B-instruct,math_cot,1.0,-1,52,3,0,0.0
36939,llama-3.1-70B-instruct,math_cot,1.0,-1,53,3,3,1.0
36940,llama-3.1-70B-instruct,math_cot,1.0,-1,54,3,3,1.0
36941,llama-3.1-70B-instruct,math_cot,1.0,-1,55,3,3,1.0
36942,llama-3.1-70B-instruct,math_cot,1.0,-1,56,3,0,0.0
36943,llama-3.1-70B-instruct,math_cot,1.0,-1,57,3,3,1.0
36944,llama-3.1-70B-instruct,math_cot,1.0,-1,58,3,0,0.0
36945,llama-3.1-70B-instruct,math_cot,1.0,-1,59,3,3,1.0
36946,llama-3.1-70B-instruct,math_cot,1.0,-1,60,3,3,1.0
36947,llama-3.1-70B-instruct,math_cot,1.0,-1,61,3,0,0.0
36948,llama-3.1-70B-instruct,math_cot,1.0,-1,62,3,3,1.0
36949,llama-3.1-70B-instruct,math_cot,1.0,-1,63,3,3,1.0
36950,llama-3.1-70B-instruct,math_cot,1.0,-1,64,3,3,1.0
36951,llama-3.1-70B-instruct,math_cot,1.0,-1,65,3,0,0.0
36952,llama-3.1-70B-instruct,math_cot,1.0,-1,66,3,3,1.0
36953,llama-3.1-70B-instruct,math_cot,1.0,-1,67,3,3,1.0
36954,llama-3.1-70B-instruct,math_cot,1.0,-1,68,3,0,0.0
36955,llama-3.1-70B-instruct,math_cot,1.0,-1,69,3,3,1.0
36956,llama-3.1-70B-instruct,math_cot,1.0,-1,70,3,0,0.0
36957,llama-3.1-70B-instruct,math_cot,1.0,-1,71,3,3,1.0
36958,llama-3.1-70B-instruct,math_cot,1.0,-1,72,3,0,0.0
36959,llama-3.1-70B-instruct,math_cot,1.0,-1,73,3,0,0.0
36960,llama-3.1-70B-instruct,math_cot,1.0,-1,74,3,0,0.0
36961,llama-3.1-70B-instruct,math_cot,1.0,-1,75,3,3,1.0
36962,llama-3.1-70B-instruct,math_cot,1.0,-1,76,3,3,1.0
36963,llama-3.1-70B-instruct,math_cot,1.0,-1,77,3,3,1.0
36964,llama-3.1-70B-instruct,math_cot,1.0,-1,78,3,0,0.0
36965,llama-3.1-70B-instruct,math_cot,1.0,-1,79,3,0,0.0
36966,llama-3.1-70B-instruct,math_cot,1.0,-1,80,3,0,0.0
36967,llama-3.1-70B-instruct,math_cot,1.0,-1,81,3,3,1.0
36968,llama-3.1-70B-instruct,math_cot,1.0,-1,82,3,0,0.0
36969,llama-3.1-70B-instruct,math_cot,1.0,-1,83,3,3,1.0
36970,llama-3.1-70B-instruct,math_cot,1.0,-1,84,3,0,0.0
36971,llama-3.1-70B-instruct,math_cot,1.0,-1,85,3,3,1.0
36972,llama-3.1-70B-instruct,math_cot,1.0,-1,86,3,3,1.0
36973,llama-3.1-70B-instruct,math_cot,1.0,-1,87,3,3,1.0
36974,llama-3.1-70B-instruct,math_cot,1.0,-1,88,3,0,0.0
36975,llama-3.1-70B-instruct,math_cot,1.0,-1,89,3,3,1.0
36976,llama-3.1-70B-instruct,math_cot,1.0,-1,90,3,3,1.0
36977,llama-3.1-70B-instruct,math_cot,1.0,-1,91,3,3,1.0
36978,llama-3.1-70B-instruct,math_cot,1.0,-1,92,3,3,1.0
36979,llama-3.1-70B-instruct,math_cot,1.0,-1,93,3,0,0.0
36980,llama-3.1-70B-instruct,math_cot,1.0,-1,94,3,3,1.0
36981,llama-3.1-70B-instruct,math_cot,1.0,-1,95,3,2,0.6666666667
36982,llama-3.1-70B-instruct,math_cot,1.0,-1,96,3,3,1.0
36983,llama-3.1-70B-instruct,math_cot,1.0,-1,97,3,3,1.0
36984,llama-3.1-70B-instruct,math_cot,1.0,-1,98,3,0,0.0
36985,llama-3.1-70B-instruct,math_cot,1.0,-1,99,3,3,1.0
36986,llama-3.1-70B-instruct,math_cot,1.0,-1,100,3,3,1.0
36987,llama-3.1-70B-instruct,math_cot,1.0,-1,101,3,0,0.0
36988,llama-3.1-70B-instruct,math_cot,1.0,-1,102,3,0,0.0
36989,llama-3.1-70B-instruct,math_cot,1.0,-1,103,3,3,1.0
36990,llama-3.1-70B-instruct,math_cot,1.0,-1,104,3,3,1.0
36991,llama-3.1-70B-instruct,math_cot,1.0,-1,105,3,3,1.0
36992,llama-3.1-70B-instruct,math_cot,1.0,-1,106,3,3,1.0
36993,llama-3.1-70B-instruct,math_cot,1.0,-1,107,3,3,1.0
36994,llama-3.1-70B-instruct,math_cot,1.0,-1,108,3,0,0.0
36995,llama-3.1-70B-instruct,math_cot,1.0,-1,109,3,3,1.0
36996,llama-3.1-70B-instruct,math_cot,1.0,-1,110,3,0,0.0
36997,llama-3.1-70B-instruct,math_cot,1.0,-1,111,3,2,0.6666666667
36998,llama-3.1-70B-instruct,math_cot,1.0,-1,112,3,3,1.0
36999,llama-3.1-70B-instruct,math_cot,1.0,-1,113,3,3,1.0
37000,llama-3.1-70B-instruct,math_cot,1.0,-1,114,3,0,0.0
37001,llama-3.1-70B-instruct,math_cot,1.0,-1,115,3,0,0.0
37002,llama-3.1-70B-instruct,math_cot,1.0,-1,116,3,0,0.0
37003,llama-3.1-70B-instruct,math_cot,1.0,-1,117,3,3,1.0
37004,llama-3.1-70B-instruct,math_cot,1.0,-1,118,3,3,1.0
37005,llama-3.1-70B-instruct,math_cot,1.0,-1,119,3,0,0.0
37006,llama-3.1-70B-instruct,math_cot,1.0,-1,120,3,0,0.0
37007,llama-3.1-70B-instruct,math_cot,1.0,-1,121,3,3,1.0
37008,llama-3.1-70B-instruct,math_cot,1.0,-1,122,3,3,1.0
37009,llama-3.1-70B-instruct,math_cot,1.0,-1,123,3,3,1.0
37010,llama-3.1-70B-instruct,math_cot,1.0,-1,124,3,3,1.0
37011,llama-3.1-70B-instruct,math_cot,1.0,-1,125,3,3,1.0
37012,llama-3.1-70B-instruct,math_cot,1.0,-1,126,3,3,1.0
37013,llama-3.1-70B-instruct,math_cot,1.0,-1,127,3,0,0.0
37014,llama-3.1-70B-instruct,math_cot,1.0,-1,128,3,0,0.0
37015,llama-3.1-70B-instruct,math_cot,1.0,-1,129,3,3,1.0
37016,llama-3.1-70B-instruct,math_cot,1.0,-1,130,3,0,0.0
37017,llama-3.1-70B-instruct,math_cot,1.0,-1,131,3,0,0.0
37018,llama-3.1-70B-instruct,math_cot,1.0,-1,132,3,3,1.0
37019,llama-3.1-70B-instruct,math_cot,1.0,-1,133,3,0,0.0
37020,llama-3.1-70B-instruct,math_cot,1.0,-1,134,3,3,1.0
37021,llama-3.1-70B-instruct,math_cot,1.0,-1,135,3,3,1.0
37022,llama-3.1-70B-instruct,math_cot,1.0,-1,136,3,0,0.0
37023,llama-3.1-70B-instruct,math_cot,1.0,-1,137,3,0,0.0
37024,llama-3.1-70B-instruct,math_cot,1.0,-1,138,3,0,0.0
37025,llama-3.1-70B-instruct,math_cot,1.0,-1,139,3,0,0.0
37026,llama-3.1-70B-instruct,math_cot,1.0,-1,140,3,3,1.0
37027,llama-3.1-70B-instruct,math_cot,1.0,-1,141,3,0,0.0
37028,llama-3.1-70B-instruct,math_cot,1.0,-1,142,3,0,0.0
37029,llama-3.1-70B-instruct,math_cot,1.0,-1,143,3,3,1.0
37030,llama-3.1-70B-instruct,math_cot,1.0,-1,144,3,3,1.0
37031,llama-3.1-70B-instruct,math_cot,1.0,-1,145,3,3,1.0
37032,llama-3.1-70B-instruct,math_cot,1.0,-1,146,3,0,0.0
37033,llama-3.1-70B-instruct,math_cot,1.0,-1,147,3,0,0.0
37034,llama-3.1-70B-instruct,math_cot,1.0,-1,148,3,0,0.0
37035,llama-3.1-70B-instruct,math_cot,1.0,-1,149,3,3,1.0
37036,llama-3.1-70B-instruct,math_cot,1.0,-1,150,3,0,0.0
37037,llama-3.1-70B-instruct,math_cot,1.0,-1,151,3,0,0.0
37038,llama-3.1-70B-instruct,math_cot,1.0,-1,152,3,3,1.0
37039,llama-3.1-70B-instruct,math_cot,1.0,-1,153,3,3,1.0
37040,llama-3.1-70B-instruct,math_cot,1.0,-1,154,3,0,0.0
37041,llama-3.1-70B-instruct,math_cot,1.0,-1,155,3,3,1.0
37042,llama-3.1-70B-instruct,math_cot,1.0,-1,156,3,3,1.0
37043,llama-3.1-70B-instruct,math_cot,1.0,-1,157,3,0,0.0
37044,llama-3.1-70B-instruct,math_cot,1.0,-1,158,3,0,0.0
37045,llama-3.1-70B-instruct,math_cot,1.0,-1,159,3,3,1.0
37046,llama-3.1-70B-instruct,math_cot,1.0,-1,160,3,3,1.0
37047,llama-3.1-70B-instruct,math_cot,1.0,-1,161,3,0,0.0
37048,llama-3.1-70B-instruct,math_cot,1.0,-1,162,3,0,0.0
37049,llama-3.1-70B-instruct,math_cot,1.0,-1,163,3,0,0.0
37050,llama-3.1-70B-instruct,math_cot,1.0,-1,164,3,3,1.0
37051,llama-3.1-70B-instruct,math_cot,1.0,-1,165,3,3,1.0
37052,llama-3.1-70B-instruct,math_cot,1.0,-1,166,3,0,0.0
37053,llama-3.1-70B-instruct,math_cot,1.0,-1,167,3,0,0.0
37054,llama-3.1-70B-instruct,math_cot,1.0,-1,168,3,0,0.0
37055,llama-3.1-70B-instruct,math_cot,1.0,-1,169,3,0,0.0
37056,llama-3.1-70B-instruct,math_cot,1.0,-1,170,3,0,0.0
37057,llama-3.1-70B-instruct,math_cot,1.0,-1,171,3,3,1.0
37058,llama-3.1-70B-instruct,math_cot,1.0,-1,172,3,3,1.0
37059,llama-3.1-70B-instruct,math_cot,1.0,-1,173,3,3,1.0
37060,llama-3.1-70B-instruct,math_cot,1.0,-1,174,3,3,1.0
37061,llama-3.1-70B-instruct,math_cot,1.0,-1,175,3,3,1.0
37062,llama-3.1-70B-instruct,math_cot,1.0,-1,176,3,3,1.0
37063,llama-3.1-70B-instruct,math_cot,1.0,-1,177,3,0,0.0
37064,llama-3.1-70B-instruct,math_cot,1.0,-1,178,3,3,1.0
37065,llama-3.1-70B-instruct,math_cot,1.0,-1,179,3,3,1.0
37066,llama-3.1-70B-instruct,math_cot,1.0,-1,180,3,3,1.0
37067,llama-3.1-70B-instruct,math_cot,1.0,-1,181,3,3,1.0
37068,llama-3.1-70B-instruct,math_cot,1.0,-1,182,3,3,1.0
37069,llama-3.1-70B-instruct,math_cot,1.0,-1,183,3,3,1.0
37070,llama-3.1-70B-instruct,math_cot,1.0,-1,184,3,0,0.0
37071,llama-3.1-70B-instruct,math_cot,1.0,-1,185,3,3,1.0
37072,llama-3.1-70B-instruct,math_cot,1.0,-1,186,3,3,1.0
37073,llama-3.1-70B-instruct,math_cot,1.0,-1,187,3,0,0.0
37074,llama-3.1-70B-instruct,math_cot,1.0,-1,188,3,3,1.0
37075,llama-3.1-70B-instruct,math_cot,1.0,-1,189,3,0,0.0
37076,llama-3.1-70B-instruct,math_cot,1.0,-1,190,3,3,1.0
37077,llama-3.1-70B-instruct,math_cot,1.0,-1,191,3,3,1.0
37078,llama-3.1-70B-instruct,math_cot,1.0,-1,192,3,3,1.0
37079,llama-3.1-70B-instruct,math_cot,1.0,-1,193,3,0,0.0
37080,llama-3.1-70B-instruct,math_cot,1.0,-1,194,3,3,1.0
37081,llama-3.1-70B-instruct,math_cot,1.0,-1,195,3,3,1.0
37082,llama-3.1-70B-instruct,math_cot,1.0,-1,196,3,0,0.0
37083,llama-3.1-70B-instruct,math_cot,1.0,-1,197,3,3,1.0
37084,llama-3.1-70B-instruct,math_cot,1.0,-1,198,3,3,1.0
37085,llama-3.1-70B-instruct,math_cot,1.0,-1,199,3,3,1.0
37086,llama-3.1-70B-instruct,math_cot,1.0,-1,200,3,0,0.0
37087,llama-3.1-70B-instruct,math_cot,1.0,-1,201,3,0,0.0
37088,llama-3.1-70B-instruct,math_cot,1.0,-1,202,3,3,1.0
37089,llama-3.1-70B-instruct,math_cot,1.0,-1,203,3,3,1.0
37090,llama-3.1-70B-instruct,math_cot,1.0,-1,204,3,3,1.0
37091,llama-3.1-70B-instruct,math_cot,1.0,-1,205,3,0,0.0
37092,llama-3.1-70B-instruct,math_cot,1.0,-1,206,3,3,1.0
37093,llama-3.1-70B-instruct,math_cot,1.0,-1,207,3,0,0.0
37094,llama-3.1-70B-instruct,math_cot,1.0,-1,208,3,3,1.0
37095,llama-3.1-70B-instruct,math_cot,1.0,-1,209,3,0,0.0
37096,llama-3.1-70B-instruct,math_cot,1.0,-1,210,3,3,1.0
37097,llama-3.1-70B-instruct,math_cot,1.0,-1,211,3,3,1.0
37098,llama-3.1-70B-instruct,math_cot,1.0,-1,212,3,0,0.0
37099,llama-3.1-70B-instruct,math_cot,1.0,-1,213,3,0,0.0
37100,llama-3.1-70B-instruct,math_cot,1.0,-1,214,3,3,1.0
37101,llama-3.1-70B-instruct,math_cot,1.0,-1,215,3,3,1.0
37102,llama-3.1-70B-instruct,math_cot,1.0,-1,216,3,0,0.0
37103,llama-3.1-70B-instruct,math_cot,1.0,-1,217,3,2,0.6666666667
37104,llama-3.1-70B-instruct,math_cot,1.0,-1,218,3,0,0.0
37105,llama-3.1-70B-instruct,math_cot,1.0,-1,219,3,0,0.0
37106,llama-3.1-70B-instruct,math_cot,1.0,-1,220,3,0,0.0
37107,llama-3.1-70B-instruct,math_cot,1.0,-1,221,3,3,1.0
37108,llama-3.1-70B-instruct,math_cot,1.0,-1,222,3,3,1.0
37109,llama-3.1-70B-instruct,math_cot,1.0,-1,223,3,0,0.0
37110,llama-3.1-70B-instruct,math_cot,1.0,-1,224,3,3,1.0
37111,llama-3.1-70B-instruct,math_cot,1.0,-1,225,3,3,1.0
37112,llama-3.1-70B-instruct,math_cot,1.0,-1,226,3,3,1.0
37113,llama-3.1-70B-instruct,math_cot,1.0,-1,227,3,3,1.0
37114,llama-3.1-70B-instruct,math_cot,1.0,-1,228,3,0,0.0
37115,llama-3.1-70B-instruct,math_cot,1.0,-1,229,3,0,0.0
37116,llama-3.1-70B-instruct,math_cot,1.0,-1,230,3,0,0.0
37117,llama-3.1-70B-instruct,math_cot,1.0,-1,231,3,3,1.0
37118,llama-3.1-70B-instruct,math_cot,1.0,-1,232,3,3,1.0
37119,llama-3.1-70B-instruct,math_cot,1.0,-1,233,3,0,0.0
37120,llama-3.1-70B-instruct,math_cot,1.0,-1,234,3,3,1.0
37121,llama-3.1-70B-instruct,math_cot,1.0,-1,235,3,3,1.0
37122,llama-3.1-70B-instruct,math_cot,1.0,-1,236,3,3,1.0
37123,llama-3.1-70B-instruct,math_cot,1.0,-1,237,3,3,1.0
37124,llama-3.1-70B-instruct,math_cot,1.0,-1,238,3,3,1.0
37125,llama-3.1-70B-instruct,math_cot,1.0,-1,239,3,3,1.0
37126,llama-3.1-70B-instruct,math_cot,1.0,-1,240,3,3,1.0
37127,llama-3.1-70B-instruct,math_cot,1.0,-1,241,3,3,1.0
37128,llama-3.1-70B-instruct,math_cot,1.0,-1,242,3,3,1.0
37129,llama-3.1-70B-instruct,math_cot,1.0,-1,243,3,3,1.0
37130,llama-3.1-70B-instruct,math_cot,1.0,-1,244,3,0,0.0
37131,llama-3.1-70B-instruct,math_cot,1.0,-1,245,3,0,0.0
37132,llama-3.1-70B-instruct,math_cot,1.0,-1,246,3,3,1.0
37133,llama-3.1-70B-instruct,math_cot,1.0,-1,247,3,3,1.0
37134,llama-3.1-70B-instruct,math_cot,1.0,-1,248,3,3,1.0
37135,llama-3.1-70B-instruct,math_cot,1.0,-1,249,3,3,1.0
37136,llama-3.1-70B-instruct,math_cot,1.0,-1,250,3,3,1.0
37137,llama-3.1-70B-instruct,math_cot,1.0,-1,251,3,3,1.0
37138,llama-3.1-70B-instruct,math_cot,1.0,-1,252,3,3,1.0
37139,llama-3.1-70B-instruct,math_cot,1.0,-1,253,3,0,0.0
37140,llama-3.1-70B-instruct,math_cot,1.0,-1,254,3,0,0.0
37141,llama-3.1-70B-instruct,math_cot,1.0,-1,255,3,3,1.0
37142,llama-3.1-70B-instruct,math_cot,1.0,-1,256,3,0,0.0
37143,llama-3.1-70B-instruct,math_cot,1.0,-1,257,3,0,0.0
37144,llama-3.1-70B-instruct,math_cot,1.0,-1,258,3,0,0.0
37145,llama-3.1-70B-instruct,math_cot,1.0,-1,259,3,3,1.0
37146,llama-3.1-70B-instruct,math_cot,1.0,-1,260,3,0,0.0
37147,llama-3.1-70B-instruct,math_cot,1.0,-1,261,3,0,0.0
37148,llama-3.1-70B-instruct,math_cot,1.0,-1,262,3,3,1.0
37149,llama-3.1-70B-instruct,math_cot,1.0,-1,263,3,3,1.0
37150,llama-3.1-70B-instruct,math_cot,1.0,-1,264,3,3,1.0
37151,llama-3.1-70B-instruct,math_cot,1.0,-1,265,3,3,1.0
